Time,Pitch,Yaw,Roll,Latitude,Longitude,GpsCnt,StraightDistance,IntegralDistance,Elevator,Rudder,Trim,Airspeed,Cadence,Ultsonic,Atmopress,Selector,Cadencevolt,Ultsonicvolt,servovolt
761222,0,258,2,35.29419125,136.2544479,2340,3.336105108,474.1199865,-6,0,-2,0,0,155.65,674.57,0,6.6,4.08,0
761516,0,258,3,35.29419125,136.2544479,2340,3.336105108,474.1199865,-6,0,-2,0,0,155.65,674.57,0,6.6,4.08,0
761805,1,251,3,35.29419125,136.2544479,2340,3.336105108,474.1199865,-6,0,-2,0,0,155.65,674.57,0,6.6,4.08,0
762099,0,258,2,35.29419035,136.2544497,2341,3.382864475,474.1199865,-6,0,-2,0,0,155.65,674.57,0,6.6,4.08,0
762446,1,255,0,35.29419035,136.2544497,2341,3.382864475,474.1199865,-6,0,-2,0,0,155.65,674.57,0,6.6,4.08,0
762739,-1,267,1,35.29419035,136.2544497,2341,3.382864475,474.1199865,-6,0,-2,0,29.86,155.65,674.57,0,6.6,4.08,0
763029,0,257,1,35.29419035,136.2544497,2341,3.382864475,474.1199865,-6,0,-2,0,29.86,155.65,674.57,0,6.6,4.08,0
763323,-2,265,3,35.29418921,136.2544509,2342,3.38735342,474.1199865,-6,0,-2,0,29.86,156.15,674.57,0,6.6,4.08,0
763612,-3,268,0,35.29418921,136.2544509,2342,3.38735342,474.1199865,-6,0,-2,0,65.24,156.15,674.57,0,6.6,4.08,0
763905,-5,274,0,35.29418921,136.2544509,2342,3.38735342,474.1199865,-6,0,-2,0,65.24,156.15,674.57,0,6.6,4.08,0
764253,-2,262,4,35.29419023,136.2544499,2343,3.388147354,474.1199865,-6,0,-2,0,65.24,154.65,674.57,0,6.6,4.08,0
764546,-1,261,1,35.29419023,136.2544499,2343,3.388147354,474.1199865,-6,0,-2,0,65.24,154.65,674.57,0,6.6,4.08,0
764836,4,245,5,35.29419023,136.2544499,2343,3.388147354,474.1199865,-6,0,-2,0,81.24,154.65,674.57,0,6.6,4.08,0
765129,-1,265,-1,35.29418917,136.2544505,2344,3.350158215,474.1199865,-6,0,-2,0,81.24,155.65,674.57,0,6.6,4.08,0
765419,0,262,3,35.29418917,136.2544505,2344,3.350158215,474.1199865,-6,0,-2,0,81.24,155.65,674.57,0,6.6,4.08,0
765712,8,235,6,35.29418917,136.2544505,2344,3.350158215,474.1199865,-6,0,-2,0,88.49,155.65,674.57,0,6.6,4.08,0
766002,5,251,0,35.29418917,136.2544505,2344,3.350158215,474.1199865,-6,0,-2,0,88.49,155.65,674.57,0,6.6,4.08,0
766295,12,228,6,35.29419041,136.2544485,2345,3.305469513,474.1199865,-6,0,-2,0,88.49,155.15,674.57,0,6.6,4.08,0
766643,10,225,10,35.29419041,136.2544485,2345,3.305469513,474.1199865,-6,0,-2,0,88.49,155.15,674.57,0,6.6,4.08,0
766936,-9,281,-6,35.29419041,136.2544485,2345,3.305469513,474.1199865,-6,0,-2,0,88.49,155.15,674.57,0,6.6,4.08,0
767226,3,248,4,35.29419065,136.2544479,2346,3.285841942,474.1199865,-6,0,-2,0,88.49,155.65,674.57,0,6.6,4.08,0
767519,0,259,4,35.29419065,136.2544479,2346,3.285841942,474.1199865,-6,0,-2,0,88.49,155.65,674.57,0,6.6,4.08,0
767809,-1,265,-2,35.29419065,136.2544479,2346,3.285841942,474.1199865,-6,0,-2,0,98.37,155.65,674.57,0,6.6,4.08,0
768102,-5,273,-2,35.29419028,136.2544467,2347,3.182367325,474.1199865,-6,0,-2,0,98.37,155.65,674.57,0,6.6,4.08,0
768392,11,224,8,35.29419028,136.2544467,2347,3.182367325,474.1199865,-6,0,-2,0,98.37,155.65,674.57,0,6.6,4.08,0
768685,3,204,19,35.29419028,136.2544467,2347,3.182367325,474.1199865,-6,0,-2,0,98.37,155.15,674.57,0,6.6,0,0
769033,-3,268,0,35.29419028,136.2544467,2347,3.182367325,474.1199865,-6,0,-2,0,98.37,155.15,674.57,0,6.6,0,0
769326,8,231,8,35.29418853,136.2544475,2348,3.097629786,474.1199865,-6,0,-2,0,98.37,156.15,674.57,0,6.6,4.09,0
769616,12,224,9,35.29418853,136.2544475,2348,3.097629786,474.1199865,-6,0,-2,0,96.43,156.15,674.57,0,6.6,4.09,0
769909,8,237,4,35.29418853,136.2544475,2348,3.097629786,474.1199865,-6,0,-2,0,96.43,156.15,674.57,0,6.6,4.09,0
770261,8,240,2,35.29418734,136.2544478,2349,3.033183813,474.1199865,-6,0,-2,0,96.43,155.15,674.57,0,6.6,4.08,0
