time*0.5 [s],altitude [cm],rotation [rpm],airspeed [m/s],yaw [deg],pitch [deg],roll [deg]
1,0,3.3,2.291,0.0,0.16,-0.81
2,0,3.3,2.291,-0.020000000000003126,0.16,-0.68
3,0,3.3,2.291,-0.020000000000003126,0.16,-0.68
4,0,3.3,1.897,0.03999999999999915,0.17,-0.61
5,0,3.3,2.365,0.03999999999999915,0.17,-0.61
6,0,3.3,3.268,0.00999999999999801,0.16,-0.38
7,0,3.3,0.0,0.00999999999999801,0.16,-0.38
8,0,3.3,0.0,0.00999999999999801,0.17,-0.44
9,0,3.3,0.0,-0.020000000000003126,0.17,-0.54
10,0,3.3,3.479,-0.020000000000003126,0.17,-0.54
11,0,3.3,3.479,-0.00999999999999801,0.12,-0.68
12,0,3.3,3.479,-0.00999999999999801,0.12,-0.68
13,0,3.3,0.0,0.020000000000003126,0.16,-0.42
14,0,3.3,0.0,0.020000000000003126,0.16,-0.42
15,0,3.3,0.0,0.0,0.15,-0.51
16,0,3.3,0.0,0.0,0.15,-0.51
17,0,3.3,0.0,0.0799999999999983,0.16,-0.87
18,0,3.3,0.0,0.0799999999999983,0.16,-0.87
19,0,3.3,0.0,0.0899999999999963,0.16,-0.76
20,0,3.3,0.0,0.0899999999999963,0.16,-0.76
21,0,3.3,0.0,0.11999999999999744,0.15,-0.79
22,0,3.3,0.0,0.11999999999999744,0.16,-0.84
23,0,3.3,2.604,0.14000000000000057,0.16,-0.88
24,0,3.3,2.604,0.14000000000000057,0.16,-0.86
25,0,3.3,2.604,0.14000000000000057,0.16,-0.86
26,0,3.3,2.604,0.14000000000000057,0.14,-0.9
27,0,3.3,2.604,0.14000000000000057,0.14,-0.9
28,0,3.3,2.604,0.14000000000000057,0.15,-0.96
29,0,3.3,2.604,0.14000000000000057,0.15,-0.96
30,0,3.3,2.604,0.1700000000000017,0.15,-0.77
31,0,3.3,2.604,0.1700000000000017,0.15,-0.69
32,0,3.3,0.0,0.1700000000000017,0.15,-0.69
33,0,3.3,0.0,0.20000000000000284,0.17,-0.65
34,0,3.3,2.9,0.20000000000000284,0.17,-0.65
35,0,3.3,2.9,0.21999999999999886,0.16,-0.54
36,0,3.3,2.9,0.21999999999999886,0.16,-0.54
37,0,3.3,2.9,0.240000000000002,0.18,-0.4
38,0,3.3,2.9,0.240000000000002,0.18,-0.4
39,0,3.3,2.176,0.2700000000000031,0.17,-0.56
40,0,3.3,2.176,0.2700000000000031,0.17,-0.56
41,0,3.3,2.176,0.259999999999998,0.17,-0.69
42,0,3.3,3.019,0.2700000000000031,0.18,-0.71
43,0,3.3,3.019,0.2700000000000031,0.18,-0.71
44,0,3.3,3.019,0.3100000000000023,0.16,-0.76
45,0,3.3,3.019,0.3100000000000023,0.16,-0.76
46,0,3.3,3.019,0.3200000000000003,0.16,-0.66
47,0,3.3,0.0,0.3200000000000003,0.16,-0.66
48,0,3.3,0.0,0.3100000000000023,0.16,-0.78
49,0,3.3,0.0,0.3100000000000023,0.16,-0.78
50,0,3.3,4.224,0.3100000000000023,0.15,-0.88
51,0,3.3,4.224,0.3100000000000023,0.15,-0.88
52,0,3.3,4.224,0.29999999999999716,0.16,-0.89
53,0,3.3,4.224,0.29999999999999716,0.16,-0.94
54,0,3.3,4.224,0.29999999999999716,0.16,-0.94
55,0,3.3,3.076,0.3100000000000023,0.15,-0.89
56,0,3.3,3.076,0.3100000000000023,0.15,-0.89
