time*0.5 [s],altitude [cm],rotation [rpm],airspeed [m/s],yaw [deg],pitch [deg],roll [deg]
1,0,3.3,0.0,0.0,0.02,0.08
2,0,3.3,0.0,0.0,0.02,0.08
3,0,3.3,0.0,-0.029999999999999805,0.03,-0.11
4,0,3.3,0.0,-0.029999999999999805,0.03,-0.11
5,0,3.3,0.0,-0.020000000000000018,0.03,0.0
6,0,3.3,0.0,-0.020000000000000018,0.03,0.0
7,0,3.3,0.0,-0.08999999999999986,0.03,-0.16
8,0,3.3,0.0,-0.08999999999999986,0.03,-0.16
9,0,3.3,0.0,-0.10999999999999988,0.03,0.21
10,0,3.3,0.0,-0.10999999999999988,0.03,0.21
11,0,3.3,0.0,-0.029999999999999805,0.03,0.75
12,0,3.3,0.0,-0.009999999999999787,0.03,0.66
13,0,3.3,0.0,-0.009999999999999787,0.03,0.66
14,0,3.3,0.0,-0.020000000000000018,0.06,0.76
15,0,3.3,0.0,-0.020000000000000018,0.06,0.76
16,0,3.3,0.0,0.040000000000000036,0.05,0.89
17,0,3.3,0.0,0.040000000000000036,0.05,0.89
18,0,3.3,0.0,0.06000000000000005,0.02,0.44
19,0,3.3,0.0,0.06000000000000005,0.02,0.44
20,0,3.3,0.0,0.06000000000000005,0.04,0.87
21,0,3.3,0.0,0.08000000000000007,0.06,0.98
22,0,3.3,0.0,0.08000000000000007,0.06,0.98
23,0,3.3,0.0,0.07000000000000006,0.11,0.64
24,0,3.3,0.0,0.07000000000000006,0.11,0.64
25,0,3.3,0.0,0.1200000000000001,0.1,0.62
26,0,3.3,0.0,0.1200000000000001,0.1,0.62
27,0,3.3,0.0,0.13000000000000012,0.11,0.83
28,0,3.3,0.0,0.13000000000000012,0.11,0.83
29,0,3.3,0.0,0.1200000000000001,0.18,0.67
30,0,3.3,0.0,0.1200000000000001,0.18,0.67
31,0,3.3,0.0,0.16999999999999993,-0.03,0.73
32,0,3.3,0.0,0.16999999999999993,-0.03,0.73
33,0,3.3,0.0,0.16999999999999993,-0.03,0.73
34,0,3.3,0.0,0.14000000000000012,-0.07,0.66
35,0,3.3,0.0,0.14000000000000012,-0.07,0.66
