time*0.5 [s],altitude [cm],rotation [rpm],airspeed [m/s],yaw [deg],pitch [deg],roll [deg]
1,0,6.6,0.0,0.0,0.01,0.28
2,0,6.6,0.0,0.019999999999999574,0.02,0.18
3,0,6.6,0.0,0.019999999999999574,0.02,0.18
4,0,6.6,0.0,0.040000000000000036,0.01,0.21
5,0,6.6,0.0,0.040000000000000036,0.01,0.21
6,0,6.6,0.0,0.07000000000000028,0.02,0.16
7,0,6.6,0.0,0.07000000000000028,0.02,0.16
8,0,6.6,0.0,0.08000000000000007,0.0,0.16
9,0,6.6,0.0,0.08000000000000007,0.0,0.04
10,0,6.6,0.0,0.08000000000000007,0.0,0.04
11,0,6.6,0.0,0.09999999999999964,0.02,0.27
12,0,6.6,0.0,0.1299999999999999,0.02,0.17
13,0,6.6,0.0,0.08000000000000007,0.0,0.3
14,0,6.6,0.0,0.08000000000000007,0.0,0.3
15,0,6.6,0.0,0.08000000000000007,0.03,0.56
16,0,6.6,0.0,0.08000000000000007,0.03,0.56
17,0,6.6,0.0,0.07000000000000028,0.03,0.52
18,0,6.6,0.0,0.07000000000000028,0.03,0.52
19,0,6.6,0.0,0.16000000000000014,0.02,0.47
20,0,6.6,0.0,0.15000000000000036,0.03,0.49
21,0,6.6,0.0,0.15000000000000036,0.03,0.49
22,0,6.6,0.0,0.1299999999999999,0.01,0.48
23,0,6.6,0.0,0.1299999999999999,0.01,0.48
24,0,6.6,0.0,0.17999999999999972,0.05,0.62
25,0,6.6,0.0,0.17999999999999972,0.05,0.62
26,0,6.6,2.624,0.11000000000000032,0.01,-0.11
27,0,6.6,2.624,0.11000000000000032,0.01,-0.11
28,0,6.6,2.624,0.17999999999999972,0.0,-0.19
29,0,6.6,2.624,0.17999999999999972,0.0,-0.19
30,0,6.6,2.624,0.17999999999999972,0.0,-0.19
31,0,6.6,2.624,0.16000000000000014,-0.04,-0.22
32,0,6.6,2.624,0.16000000000000014,-0.04,-0.22
33,0,6.6,2.624,0.1900000000000004,-0.05,-0.17
34,0,6.6,2.53,0.1900000000000004,-0.05,-0.17
35,0,6.6,2.53,0.17999999999999972,-0.05,-0.03
36,0,6.6,2.53,0.17999999999999972,-0.05,-0.03
37,0,6.6,2.53,0.22999999999999954,-0.06,-0.18
38,0,6.6,2.53,0.22999999999999954,-0.06,-0.18
39,0,6.6,2.53,0.2400000000000002,-0.07,-0.15
40,0,6.6,2.53,0.2400000000000002,-0.07,-0.15
41,0,6.6,2.53,0.2400000000000002,-0.07,-0.15
42,0,6.6,2.53,0.21999999999999975,-0.05,0.03
43,0,6.6,2.53,0.21999999999999975,-0.05,0.03
44,0,6.6,2.53,0.20999999999999996,-0.06,0.19
45,0,6.6,0.0,0.20999999999999996,-0.06,0.19
46,0,6.6,0.0,0.1900000000000004,-0.07,0.05
47,0,6.6,0.0,0.1900000000000004,-0.07,0.05
48,0,6.6,0.0,0.1900000000000004,-0.07,0.39
49,0,6.6,0.0,0.1900000000000004,-0.07,0.39
50,0,6.6,0.0,0.20000000000000018,-0.06,0.13
51,0,6.6,0.0,0.20000000000000018,-0.06,0.06
52,0,6.6,0.0,0.20000000000000018,-0.06,0.06
53,0,6.6,0.0,0.17999999999999972,-0.06,0.11
54,0,6.6,0.0,0.17999999999999972,-0.06,0.11
55,0,6.6,0.0,0.16999999999999993,-0.06,0.0
56,0,6.6,0.0,0.16999999999999993,-0.06,0.0
57,0,6.6,0.0,0.1900000000000004,-0.05,0.4
58,0,6.6,0.0,0.1900000000000004,-0.05,0.4
59,0,6.6,0.0,0.20000000000000018,-0.06,0.32
60,0,6.6,0.0,0.20000000000000018,-0.06,0.32
61,0,6.6,0.0,0.20999999999999996,-0.07,0.36
62,0,6.6,0.0,0.20999999999999996,-0.07,0.45
63,0,6.6,2.737,0.20999999999999996,-0.07,0.45
64,0,6.6,2.072,0.20999999999999996,-0.07,0.45
65,0,6.6,2.072,0.20999999999999996,-0.07,0.45
66,0,6.6,2.072,0.22999999999999954,-0.06,0.47
67,0,6.6,2.072,0.22999999999999954,-0.06,0.47
68,0,6.6,2.072,0.2400000000000002,-0.07,0.6
69,0,6.6,1.549,0.2400000000000002,-0.07,0.6
70,0,6.6,2.0,0.2699999999999996,-0.05,0.54
71,0,6.6,2.604,0.2699999999999996,-0.05,0.54
72,0,6.6,2.604,0.2699999999999996,-0.04,0.42
73,0,6.6,2.938,0.25,-0.05,0.4
74,0,6.6,2.938,0.25,-0.05,0.4
75,0,3.3,2.938,0.29000000000000004,-0.04,0.33
76,0,3.3,2.938,0.29000000000000004,-0.04,0.33
77,0,3.3,2.938,0.2699999999999996,-0.03,0.38
78,0,3.3,2.938,0.2699999999999996,-0.03,0.38
79,0,3.3,2.022,0.29000000000000004,-0.04,0.32
80,0,3.3,2.022,0.29000000000000004,-0.04,0.32
81,0,3.3,2.684,0.33999999999999986,-0.04,0.54
82,0,3.3,2.684,0.33999999999999986,-0.04,0.54
83,0,3.3,2.684,0.33999999999999986,-0.04,0.54
84,0,3.3,1.813,0.3099999999999996,-0.02,0.56
85,0,3.3,1.277,0.3099999999999996,-0.02,0.56
86,0,3.3,0.647,0.2999999999999998,0.02,0.11
87,0,3.3,0.175,0.2999999999999998,0.02,0.11
88,0,3.3,0.175,0.34999999999999964,-0.11,0.34
89,0,3.3,0.225,0.34999999999999964,-0.11,0.34
90,0,3.3,0.248,0.34999999999999964,-0.13,0.29
91,0,3.3,0.577,0.34999999999999964,-0.13,0.29
92,0,3.3,2.005,0.34999999999999964,-0.13,0.29
93,0,3.3,0.313,0.34999999999999964,-0.13,0.29
94,0,3.3,0.324,0.34999999999999964,-0.13,0.29
95,0,3.3,0.324,0.3799999999999999,-0.1,0.05
96,0,3.3,0.324,0.3799999999999999,-0.1,0.05
97,0,3.3,0.324,0.40000000000000036,-0.11,-0.05
98,0,3.3,0.38,0.40000000000000036,-0.11,-0.05
99,0,3.3,0.38,0.4400000000000004,-0.09,-0.12
100,0,3.3,2.291,0.4400000000000004,-0.09,-0.12
101,0,13.3,1.724,0.40000000000000036,-0.04,0.1
102,0,30.0,1.724,0.3899999999999997,-0.09,-0.1
103,0,40.0,1.724,0.3899999999999997,-0.09,-0.1
104,0,46.6,1.434,0.34999999999999964,0.22,-0.35
105,0,56.6,1.434,0.34999999999999964,0.22,-0.35
106,0,63.3,1.66,0.4299999999999997,0.04,0.11
107,0,63.3,3.005,0.4299999999999997,0.04,0.11
108,0,66.6,3.005,0.41999999999999993,0.21,0.5
109,0,70.0,0.0,0.41999999999999993,0.21,0.5
110,0,63.3,0.0,0.33999999999999986,2.61,0.38
111,0,66.6,0.0,0.33999999999999986,2.61,0.38
112,0,70.0,0.0,0.2599999999999998,2.44,0.47
113,1,70.0,0.0,0.2599999999999998,2.44,0.47
114,1,70.0,1.348,-0.4800000000000004,2.48,-0.27
115,1,53.3,0.847,-0.71,2.22,-0.98
116,0,63.3,0.881,-0.71,2.22,-0.98
117,0,73.3,1.248,-2.02,3.33,-1.75
118,0,53.3,1.583,-2.02,3.33,-1.75
119,0,60.0,2.005,-2.02,3.33,-1.75
120,0,70.0,2.235,-1.4500000000000002,2.98,-0.09
121,0,60.0,2.38,-1.4500000000000002,2.98,-0.09
122,0,66.6,2.495,0.8099999999999996,2.02,2.55
123,0,73.3,2.614,0.8099999999999996,2.02,2.55
124,0,60.0,2.684,0.7800000000000002,0.28,3.0
125,0,66.6,2.77,0.7800000000000002,0.28,3.0
126,0,76.6,2.839,0.54,0.28,2.73
127,0,66.6,2.991,0.54,0.28,2.73
128,0,63.3,3.137,-0.8200000000000003,1.66,1.01
129,0,83.3,3.2,-0.8200000000000003,1.66,1.01
130,0,83.3,3.286,-0.9100000000000001,1.64,1.01
131,0,63.3,3.34,-0.9100000000000001,1.64,1.01
132,0,73.3,3.544,-0.79,2.43,0.3
133,0,86.6,3.971,-0.79,2.43,0.3
134,0,86.6,4.004,-0.45999999999999996,2.5,0.85
135,0,86.6,3.738,-0.45999999999999996,2.5,0.85
136,0,86.6,3.286,-0.45999999999999996,2.5,0.85
137,0,86.6,3.566,-0.9500000000000002,0.84,0.31
138,0,66.6,3.792,-0.9500000000000002,0.84,0.31
139,0,66.6,3.971,-2.48,-0.2,-2.72
140,0,86.6,3.971,-2.48,-0.2,-2.72
141,0,66.6,4.224,-2.73,1.23,-4.6
142,0,70.0,4.265,-2.4,2.78,-3.61
143,0,80.0,4.445,-2.4,2.78,-3.61
144,0,76.6,4.184,-1.7000000000000002,4.18,-1.04
145,0,66.6,4.601,-1.7000000000000002,4.18,-1.04
146,0,83.3,4.658,-1.31,1.96,-1.59
147,0,93.3,4.658,-1.31,1.96,-1.59
148,0,80.0,4.397,-0.9800000000000004,0.8,-2.09
149,0,73.3,4.445,-0.9800000000000004,0.8,-2.09
150,1,73.3,5.258,-1.0099999999999998,0.8,-1.26
151,0,76.6,5.077,-0.08999999999999986,2.08,-2.04
152,0,76.6,5.164,-0.08999999999999986,2.08,-2.04
153,0,93.3,4.445,0.47999999999999954,0.87,-0.31
154,0,83.3,4.073,0.47999999999999954,0.87,-0.31
155,1,80.0,4.265,-2.37,0.23,-3.0
