time*0.5 [s],altitude [cm],rotation [rpm],airspeed [m/s],pitch [deg],roll [deg]
1,0,0.3,0.0,0.2999999999999998,0.9000000000000057
2,0,0.3,0.0,0.10000000000000009,0.8000000000000114
3,0,0.3,0.0,0.20000000000000018,0.6999999999999886
4,0,0.3,0.0,0.20000000000000018,0.6999999999999886
5,0,0.3,0.0,0.0,0.5
6,0,0.3,0.0,0.10000000000000009,0.559999999999997
7,0,0.3,0.0,0.06000000000000005,0.539999999999992
8,0,0.2,0.0,-0.020000000000000462,0.5199999999999934
9,0,0.2,0.0,-0.28000000000000025,0.4599999999999964
10,0,0.2,0.0,-0.7600000000000002,0.4399999999999977
11,0,0.2,0.0,-1.2400000000000002,0.35999999999999677
12,0,0.2,0.0,-1.6400000000000001,0.019999999999998685
13,0,0.2,0.0,-2.04,-0.23999999999999755
14,0,0.2,0.0,-2.26,-0.23999999999999755
15,0,105.6,0.5726,-2.14,-0.1800000000000015
16,0,105.6,1.1012,-1.96,-0.059999999999996945
17,0,105.6,1.5652000000000001,-1.7600000000000002,5.329070518200751e-15
18,0,124.6,1.703,-1.5,0.10000000000000586
19,0,130.5,2.0002000000000004,-1.36,0.08000000000000718
20,0,133.8,1.7191999999999996,-1.22,-0.07999999999998941
21,0,133.8,1.4196000000000002,-1.1,-0.03999999999999204
22,0,136.1,0.9754000000000002,-1.3400000000000003,0.2200000000000042
23,0,148.1,1.217,-1.6,0.4800000000000013
24,0,145.5,1.0664,-1.8599999999999999,0.5199999999999987
25,0,145.0,0.9084,-2.7,0.6399999999999979
26,0,147.2,0.7022,-3.94,0.7399999999999975
27,0,151.0,0.6834,-5.0,0.7800000000000011
28,0,154.5,0.4164,-6.34,1.7160000000000024
29,0,150.8,0.3316,-7.779999999999999,2.796000000000004
30,0,154.0,0.2002,-8.64,3.9360000000000013
31,0,155.9,0.1902,-9.14,5.523200000000002
32,0,150.9,0.9263999999999999,-9.78,7.46784
33,0,147.7,1.2428000000000001,-10.459999999999999,8.805408
34,0,148.1,1.6962,-10.98,10.386489599999997
35,0,147.7,1.7400000000000002,-11.52,10.506489600000002
36,0,147.7,1.7730000000000001,-12.16,10.239289600000001
37,0,137.2,1.0414,-12.379999999999999,9.5546496
38,0,143.0,0.6508,-12.0,8.3410816
39,0,134.7,0.137,-11.459999999999999,6.940000000000003
40,0,117.5,0.10400000000000001,-10.559999999999999,6.940000000000003
41,0,117.5,0.09240000000000001,-9.200000000000001,6.580000000000007
42,0,84.2,0.09540000000000001,-7.98,7.47600000000001
43,0,72.5,0.8789999999999999,-6.9399999999999995,8.691200000000011
44,0,72.5,0.9550000000000001,-5.720000000000001,10.06944000000001
45,0,65.2,0.9574000000000001,-4.38,9.46944000000001
46,0,46.1,0.9241999999999999,-3.3,9.149440000000006
47,0,46.1,1.2388000000000001,-2.3200000000000003,7.613440000000006
48,0,42.2,1.6747999999999998,-1.3399999999999999,5.578240000000005
49,0,33.5,1.598,-0.49999999999999956,3.1600000000000024
50,0,36.3,1.5832000000000002,-0.18000000000000016,2.639999999999998
51,0,33.8,2.4189999999999996,0.2200000000000002,1.9600000000000022
52,0,32.0,2.7262,0.8799999999999999,1.2400000000000033
53,0,25.5,2.1862000000000004,1.4600000000000009,1.1199999999999988
54,0,18.0,2.9552,1.8399999999999999,1.2199999999999989
55,0,18.0,3.7241999999999997,2.26,1.1
56,0,18.0,3.605199999999999,2.42,0.8799999999999955
57,0,18.0,3.6926,2.3200000000000003,0.8799999999999955
58,0,15.6,3.7966,2.04,0.5799999999999956
59,0,15.6,3.8487999999999998,1.7200000000000006,0.11999999999999922
60,0,13.2,4.1738,1.3200000000000003,-0.03999999999999737
61,0,13.2,4.5506,0.96,-0.019999999999993356
62,0,13.2,4.9274,0.7200000000000002,-0.1599999999999966
63,0,13.2,5.2002,0.5800000000000005,-0.37999999999999545
64,0,13.2,5.473,0.6599999999999993,-0.5799999999999956
65,0,14.5,4.3784,0.7999999999999998,-0.7000000000000002
66,0,14.5,3.2838000000000003,0.8999999999999999,-0.8200000000000047
67,0,14.5,2.1892,0.94,-0.8600000000000021
68,0,14.5,1.0946,1.04,-0.8400000000000034
69,0,12.0,0.0,1.0999999999999996,-0.880000000000007
70,0,12.0,0.0,1.12,-0.880000000000007
71,0,5.5,0.0,1.2200000000000006,-0.8400000000000034
72,0,5.5,0.0,1.200000000000001,-0.8200000000000047
73,0,5.5,0.0,1.08,-0.7600000000000025
74,0,5.5,0.0,0.8600000000000003,-0.5400000000000036
75,0,5.5,0.0,0.6199999999999997,-0.41999999999999904
76,0,5.2,0.0,0.3600000000000003,-0.3600000000000021
