time*0.5 [s],altitude [cm],rotation [rpm],airspeed [m/s],pitch [deg],roll [deg]
1,0,0.0,0.0,-0.2,0.2
2,0,1.2,3.251,-0.3,0.1
3,0,1.2,3.251,-0.4,0.2
4,0,1.2,3.251,-0.3,0.2
5,0,1.2,3.251,-0.4,0.0
6,0,1.2,3.251,-3.36,0.1
7,0,1.2,2.6008,-3.36,0.1
8,0,1.2,1.9506000000000001,-3.38,0.1
9,0,1.2,1.3004,-3.4,0.08
10,0,1.2,0.6502,-3.4,0.08
11,0,1.2,0.0,-3.38,0.12000000000000002
12,0,1.2,0.0,-3.36,0.16
13,0,1.2,0.0,-3.3,0.18000000000000002
14,0,1.2,0.0,-3.3,0.26
15,0,1.2,0.0,-3.3,0.34
16,0,1.3,0.0,-3.32,0.36
17,0,1.3,0.0,-3.38,0.44000000000000006
18,0,1.3,0.0,-3.42,0.48
19,0,1.3,0.0,-3.44,0.48
20,0,1.3,0.0,-3.5,0.48
21,0,1.3,0.0,-3.5,0.42000000000000004
22,0,0.8,0.0,-3.46,0.27999999999999997
23,0,0.8,0.0,-3.42,0.16
24,0,0.8,0.0,-3.4,0.020000000000000007
25,0,60.5,0.0,-3.52,-0.14
26,0,60.5,0.0,-3.9,-0.27999999999999997
27,0,101.1,0.0,-4.4399999999999995,-0.36
28,0,101.1,0.0,-5.04,-0.34
29,0,101.1,0.0,-5.5200000000000005,-0.3
30,0,101.1,0.0,-5.68,-0.18000000000000002
31,0,101.1,0.0,-5.46,-0.04
32,0,124.8,0.5227999999999999,-5.14,-0.13999999999999999
33,0,130.5,1.0398,-4.78,-0.3
34,0,130.5,1.5568,-4.52,-0.4
35,0,136.7,2.113,-4.52,-0.36000000000000004
36,0,136.7,2.8886,-4.720000000000001,-0.36000000000000004
37,0,137.3,3.16,-4.82,-0.18
38,0,136.0,4.0212,-4.78,-0.27999999999999997
39,0,141.0,4.2858,-4.76,-0.62
40,0,140.4,4.2904,-4.7,-1.28
41,0,137.0,3.6108,-4.62,-1.86
42,0,137.1,3.4094,-4.66,-2.0200000000000005
43,0,140.8,2.6378,-4.9399999999999995,-1.7200000000000002
44,0,138.0,2.5693999999999995,-5.0,-1.3599999999999999
45,0,145.4,2.8454,-4.88,-0.78
46,0,142.8,2.9228,-4.8,-0.3
47,0,142.6,2.5068000000000006,-5.08,-0.3
48,0,143.2,2.0326000000000004,-5.4799999999999995,-0.24000000000000005
49,0,140.7,2.0372,-5.9,0.11999999999999997
50,0,140.7,1.7634,-6.140000000000001,0.5799999999999998
51,0,140.7,2.3975999999999997,-6.319999999999999,1.2
52,0,144.1,2.8816,-5.9799999999999995,1.7399999999999998
53,0,142.7,3.4172,-5.48,1.9799999999999998
54,0,147.8,3.1358,-5.3,2.1
55,0,148.2,3.0898000000000003,-5.62,1.9599999999999997
56,0,145.4,2.8804000000000003,-6.4,1.8599999999999999
57,0,145.3,2.9671999999999996,-7.34,1.8519999999999999
58,0,146.8,2.3031999999999995,-8.36,1.8824
59,0,144.6,1.8996,-9.2,2.3024
60,0,140.6,1.3838,-9.84,2.4428799999999997
61,0,143.5,1.3606,-9.919999999999998,2.64288
62,0,145.4,0.6894,-9.760000000000002,2.57088
63,0,145.1,0.6862,-9.379999999999999,2.50048
64,0,146.4,0.6546,-9.040000000000001,2.10048
65,0,143.5,0.6956,-9.0,2.2199999999999998
66,0,141.2,0.13319999999999999,-9.34,2.0439999999999996
67,0,148.8,0.647,-9.7,2.1528
68,0,149.1,1.3296,-9.92,2.2833599999999996
69,0,152.6,1.456,-10.38,3.10336
70,0,158.5,2.2586,-10.7,3.8233599999999996
71,0,158.5,2.5705999999999998,-10.760000000000002,4.144032
72,0,158.2,2.0357999999999996,-11.16,4.415232
73,0,158.1,1.3546,-11.64,4.504672
74,0,152.8,1.2634000000000003,-12.1,3.8846720000000006
75,0,151.8,0.43179999999999996,-12.080000000000002,3.3616064000000003
76,0,146.8,0.11300000000000002,-11.84,3.7769344000000005
77,0,163.1,0.14220000000000002,-11.52,3.8523212800000004
78,0,144.2,1.2120000000000002,-11.44,4.572321280000001
79,0,149.2,1.258,-11.4,5.27232128
80,0,150.4,1.3622,-11.84,6.275386879999999
81,0,152.6,1.5096,-12.68,7.05538688
82,0,154.5,1.4324,-13.540000000000001,8.040000000000001
83,0,148.7,0.3922,-14.139999999999999,8.32
84,0,145.1,0.315,-14.4,8.72
85,0,142.7,0.30760000000000004,-14.58,8.780000000000001
86,0,133.7,0.42200000000000004,-14.64,8.719999999999999
87,0,101.0,0.4152000000000001,-14.48,8.7
88,0,85.9,0.517,-14.18,8.5
89,0,80.2,0.5448000000000001,-13.2,7.9799999999999995
90,0,75.9,0.4418,-11.98,7.3
91,0,69.8,0.17900000000000002,-10.48,6.859999999999999
92,0,67.2,0.18300000000000002,-8.68,6.5120000000000005
93,0,71.3,0.0992,-6.9799999999999995,5.5920000000000005
94,0,52.7,0.099,-5.76,4.872
95,0,52.7,0.1112,-4.640000000000001,4.3919999999999995
96,0,62.8,0.1308,-4.04,3.692
97,0,54.9,0.9792,-4.3,3.04
98,0,57.1,2.1442,-4.82,3.2479999999999998
99,0,60.9,2.1127999999999996,-5.7,3.4176
100,0,59.2,2.0955999999999997,-6.5600000000000005,3.2976
101,0,54.4,2.1531999999999996,-6.72,2.7976
102,0,52.9,2.0477999999999996,-6.3,2.0776000000000003
103,0,54.6,1.8170000000000002,-5.699999999999999,1.3496000000000001
104,0,52.4,2.5911999999999997,-4.8,0.7
105,0,50.5,2.9314,-3.9000000000000004,0.06000000000000001
106,0.0,49.4,3.2212000000000005,-3.16,-0.42000000000000004
107,0.0,49.4,2.9038,-2.46,-0.62
108,0.0,49.4,2.4737999999999998,-1.78,-0.72
109,0,49.4,2.2521999999999998,-1.3399999999999999,-1.1
110,0,49.5,2.4639999999999995,-0.8600000000000003,-1.26
111,0,49.5,2.6461999999999994,-0.6200000000000001,-1.2
112,0,48.0,2.7744,-0.48,-1.2
113,0,48.0,2.7788,-0.5199999999999996,-1.2399999999999998
