time*0.5 [s],altitude [cm],rot_old [rpm],airspeed [m/s],yaw [deg],pitch [deg],roll [deg],rot_twe [rpm],thrust_h,thrust_m,thrust_l,rudder,elevator,rudderFB,elevatorFB,rudderTrim,elevatortrim,battVoltage,battCurrent,nunchuckC,nunchuckZ
1,32,0.0,0.0,0.0,-0.2,0.2,0.0,0,0,0,90,90,180,180,90,90,795,15,0,0
2,32,0.0,3.251,0.0,-0.3,0.1,1.2,0,5,6895,90,90,180,180,90,90,795,13,0,0
3,32,0.0,3.251,0.0,-0.4,0.2,1.2,0,5,6895,90,90,180,180,90,90,794,16,0,0
4,32,0.0,3.251,0.0,-0.3,0.2,1.2,0,5,6895,90,90,180,180,90,90,795,13,0,0
5,32,0.0,3.251,0.0,-0.4,0.0,1.2,0,5,6895,90,90,180,180,90,90,795,15,0,0
6,32,0.0,3.251,0.0,-0.4,0.0,1.2,0,5,6895,90,90,180,180,90,90,794,15,0,0
7,32,0.0,0.0,0.0,-0.3,0.1,1.2,0,5,6895,90,90,180,180,90,90,795,13,0,0
8,32,0.0,0.0,0.0,-0.5,0.2,1.2,0,5,6895,90,90,180,180,90,90,795,15,0,0
9,32,0.0,0.0,0.0,-0.4,0.1,1.2,0,5,6896,90,90,180,180,90,90,795,15,0,0
10,32,0.0,0.0,0.0,-0.4,0.0,1.2,0,5,6896,90,90,180,180,90,90,795,13,0,0
11,32,0.0,0.0,0.0,-0.3,0.2,1.2,0,5,6896,90,90,180,180,90,90,794,15,0,0
12,32,0.0,0.0,0.0,-0.2,0.3,1.2,0,5,6896,90,90,180,180,90,90,795,15,0,0
13,32,0.0,0.0,0.0,-0.2,0.3,1.2,0,5,6896,90,90,180,180,90,90,795,13,0,0
14,32,0.0,0.0,0.0,-0.4,0.5,1.2,0,5,6896,90,90,180,180,90,90,794,17,0,0
15,32,0.0,0.0,0.0,-0.4,0.4,1.2,0,5,6896,90,90,180,180,90,90,794,12,0,0
16,32,0.0,0.0,0.0,-0.4,0.3,1.3,0,0,0,90,90,180,180,90,90,795,15,0,0
17,33,0.0,0.0,0.0,-0.5,0.7,1.3,0,0,0,90,90,180,180,90,90,795,15,0,0
18,33,0.0,0.0,0.0,-0.4,0.5,1.3,0,0,0,90,90,180,180,90,90,795,16,0,0
19,33,0.0,0.0,0.0,-0.5,0.5,1.3,0,0,0,90,90,180,180,90,90,794,16,0,0
20,33,0.0,0.0,0.0,-0.7,0.4,1.3,0,568,9727,90,90,180,180,90,90,794,25,0,0
21,33,0.0,0.0,0.0,-0.4,0.0,1.3,0,568,9727,90,90,180,180,90,90,795,11,0,0
22,33,0.0,0.0,0.0,-0.3,0.0,0.8,0,0,0,90,90,180,180,90,90,792,28,0,0
23,33,0.0,0.0,0.0,-0.2,-0.1,0.8,0,0,0,90,90,180,180,90,90,795,15,0,0
24,33,0.0,0.0,0.0,-0.4,-0.2,0.8,0,0,0,90,90,180,180,90,90,794,17,0,0
25,33,0.0,0.0,0.0,-1.3,-0.4,60.5,0,568,9266,90,90,180,180,90,90,794,14,0,0
26,32,0.0,0.0,0.0,-2.3,-0.7,60.5,0,568,9266,90,90,180,180,90,90,794,30,0,0
27,32,0.0,0.0,0.0,-3.0,-0.4,101.1,0,0,0,90,90,180,180,90,90,794,22,0,0
28,32,0.0,0.0,0.0,-3.2,0.0,101.1,0,0,0,90,90,180,180,90,90,792,44,0,0
29,33,0.0,0.0,0.0,-2.8,0.0,101.1,0,0,0,90,90,180,180,90,90,794,18,0,0
30,33,0.0,0.0,0.0,-2.1,0.2,101.1,0,0,0,90,90,180,180,90,90,795,6,0,0
31,33,0.0,0.0,0.0,-1.2,0.0,101.1,0,0,0,90,90,180,180,90,90,792,39,0,0
32,32,0.0,2.614,0.0,-1.4,-0.9,124.8,0,0,0,90,90,180,180,90,90,794,23,0,0
33,32,0.0,2.585,0.0,-1.4,-0.8,130.5,0,568,1289,90,90,180,180,90,90,795,7,0,0
34,32,0.0,2.585,0.0,-1.5,-0.5,130.5,0,568,1289,90,90,180,180,90,90,795,9,0,0
35,33,0.0,2.781,0.0,-2.1,0.4,136.7,0,569,386,90,90,180,180,90,90,795,14,0,0
36,33,0.0,3.878,0.0,-2.2,0.0,136.7,0,569,386,90,90,180,180,90,90,792,34,0,0
37,33,0.0,3.971,0.0,-1.9,0.0,137.3,0,0,71,90,90,180,180,90,90,792,44,0,0
38,32,0.0,6.891,0.0,-1.2,-1.3,136.0,0,568,6809,90,90,180,180,90,90,794,30,0,0
39,32,0.0,3.908,0.0,-1.4,-2.2,141.0,0,567,5531,90,90,180,180,90,90,794,28,0,0
40,32,0.0,2.804,0.0,-1.8,-2.9,140.4,0,0,5,90,105,180,180,90,90,795,8,0,0
41,33,0.0,0.48,0.0,-1.8,-2.9,137.0,0,569,1738,90,109,180,180,90,90,795,6,0,0
42,33,0.0,2.964,0.0,-2.1,-0.8,137.1,0,568,3009,90,117,180,180,90,90,795,14,0,0
43,33,0.0,3.033,0.0,-2.6,0.2,140.8,0,0,5,90,90,180,180,90,90,792,30,0,0
44,33,0.0,3.566,0.0,-1.7,-0.4,138.0,0,568,7107,90,90,180,180,90,90,794,20,0,0
45,33,0.0,4.184,0.0,-1.2,0.0,145.4,0,0,0,90,90,180,180,90,90,795,8,0,0
46,33,0.0,0.867,0.0,-1.4,-0.5,142.8,0,568,8510,90,90,180,180,90,90,795,9,0,0
47,33,0.0,0.884,0.0,-3.5,-0.8,142.6,0,0,0,90,90,180,180,90,90,796,5,0,0
48,33,0.0,0.662,0.0,-4.6,0.5,143.2,0,567,8954,90,90,180,180,90,90,795,15,0,0
49,33,0.0,3.589,0.0,-3.8,1.4,140.7,0,0,568,90,90,180,180,90,90,795,6,0,0
50,32,0.0,2.815,0.0,-2.4,2.3,0.0,0,0,0,90,90,180,180,90,90,795,8,0,0
51,32,0.0,4.038,0.0,-2.3,2.6,0.0,0,0,0,90,66,180,180,90,90,794,32,0,0
52,32,0.0,3.304,0.0,-1.8,1.9,144.1,0,568,5720,90,72,180,180,90,90,794,7,0,0
53,32,0.0,3.34,0.0,-2.1,1.7,42.7,0,568,5404,90,72,180,180,90,90,792,37,0,0
54,32,0.0,2.182,0.0,-2.9,2.0,147.8,0,0,0,90,72,180,180,90,90,794,10,0,0
55,32,0.0,2.585,0.0,-4.0,1.6,148.2,0,0,0,90,88,180,180,90,90,791,53,0,0
56,32,0.0,2.991,0.0,-6.2,2.1,145.4,0,0,0,90,90,180,180,90,90,795,5,0,0
