time [ms],altitude [cm],airspeed [x0.01 m/s],angle_of_attack [x0.1 deg],airdata_pressure [hPa],airdata_temperature [degC],rotation [x0.1 rpm],rotation_voltage [0.01 V],elevator_angle [deg],rudder_angle [deg],trim [deg],trim_sign,servo_received,screen_toggle,pitch [x0.1 deg],roll [x0.1 deg],gyro_temperature [x0.01 degC],servo_voltage [x0.01 V],servo_current [x0.01 A],main_voltage [x0.01 V],temperature [x0.01 degC],pressure [x0.01 hPa],humidity [x0.01 p.c.],GPS_time (GMT+9:00),latitude [x0.000001 deg],longitude [x0.000001 deg],GPS_altitude [x0.1 cm]
00000578,0054,0000,0000,0000,00,0000,000,090,090,00,+,0,0,-045,-002,1775,0000,0000,0396,1952,101140,10000,00:00:00,00000000,000000000,00000
00001078,0111,0000,0000,0000,00,0000,000,090,090,00,+,0,0,-021,+003,1785,0000,0000,0792,1959,101142,10000,00:00:00,00000000,000000000,00000
00001579,0111,0000,0000,0000,00,0000,000,090,090,00,+,1,0,-040,+000,1785,0798,0022,0795,1960,101142,10000,00:00:00,00000000,000000000,00000
00002079,0109,0000,0000,0000,00,0000,000,090,090,00,+,1,0,-040,-017,1790,0797,0031,0794,1962,101144,10000,00:00:00,00000000,000000000,00000
00002579,0109,0000,0000,0000,00,0000,000,090,090,00,+,1,0,-041,-003,1794,0799,0020,0794,1963,101144,10000,00:00:00,00000000,000000000,00000
00003079,0109,0000,0000,0000,00,0000,000,090,090,00,+,1,0,-039,-016,1804,0799,0024,0794,1965,101146,10000,00:00:00,00000000,000000000,00000
00003579,0109,0000,0000,0000,00,0000,000,090,090,00,+,1,0,-049,-001,1808,0799,0012,0794,1966,101143,10000,00:00:00,00000000,000000000,00000
00004079,0109,0000,0000,0000,00,0000,000,090,090,00,+,1,0,-044,-006,1804,0799,0024,0794,1968,101146,10000,00:00:00,00000000,000000000,00000
00004579,0109,0000,0000,0000,00,0000,000,090,090,00,+,1,0,-045,-019,1804,0798,0030,0794,1969,101147,10000,00:00:00,00000000,000000000,00000
00005079,0109,0000,0000,0000,00,0000,000,090,090,00,+,1,0,-047,-008,1813,0797,0024,0794,1970,101146,10000,00:00:00,00000000,000000000,00000
00005579,0109,0000,0000,0000,00,0000,000,090,090,00,+,1,0,-041,-014,1808,0800,0011,0794,1972,101145,10000,00:00:00,00000000,000000000,00000
00006079,0109,0000,0000,0000,00,0000,000,090,090,00,+,1,0,-042,-008,1827,0799,0026,0794,1973,101148,10000,00:00:00,00000000,000000000,00000
00006601,0109,0000,0000,0000,00,0000,000,090,090,00,+,1,0,-043,-002,1818,0798,0032,0794,1975,101148,10000,00:00:00,00000000,000000000,00000
00007106,0100,0000,0000,0000,00,0000,000,090,090,00,+,1,0,-052,-012,1832,0798,0032,0794,1977,101145,10000,00:00:00,00000000,000000000,00000
00007606,0109,0000,0000,0000,00,0000,000,090,090,00,+,1,0,-041,-011,1818,0799,0021,0794,1978,101146,10000,00:00:00,00000000,000000000,00000
00008107,0105,0000,0000,0000,00,0000,000,090,090,00,+,1,0,-047,-004,1832,0799,0021,0794,1980,101147,10000,00:00:00,00000000,000000000,00000
00008607,0107,0000,0000,0000,00,0000,000,090,090,00,+,1,0,-045,-017,1832,0797,0025,0792,1981,101144,10000,00:00:00,00000000,000000000,00000
00009107,0105,0000,0000,0000,00,0000,000,090,090,00,+,1,0,-048,-008,1832,0800,0015,0794,1983,101145,10000,00:00:00,00000000,000000000,00000
00009607,0132,0000,0000,0000,00,0000,000,090,090,00,+,1,0,-047,-010,1832,0798,0027,0794,1985,101149,10000,00:00:00,00000000,000000000,00000
00010107,0142,0000,0000,0000,00,0000,000,090,090,00,+,1,0,-047,+006,1832,0799,0026,0792,1986,101146,10000,00:00:00,00000000,000000000,00000
00010607,0140,0000,0000,0000,00,0000,000,090,090,00,+,1,0,-045,-015,1832,0799,0025,0794,1987,101146,10000,00:00:00,00000000,000000000,00000
00011107,0102,0000,0000,0000,00,0000,000,090,090,00,+,1,0,-037,-001,1837,0799,0029,0794,1989,101147,10000,00:00:00,00000000,000000000,00000
00011607,0105,0000,0000,0000,00,0000,000,090,094,00,+,1,0,-050,-005,1841,0800,0015,0794,1991,101147,10000,00:00:00,00000000,000000000,00000
00012107,0100,0000,0000,0000,00,0000,000,089,097,00,+,1,0,-039,-016,1837,0800,0016,0794,1992,101150,10000,00:00:00,00000000,000000000,00000
00012607,0102,0000,0000,0000,00,0000,000,085,118,00,+,1,0,-048,+002,1846,0749,0235,0794,1993,101147,10000,00:00:00,00000000,000000000,00000
00013107,0100,0000,0000,0000,00,0000,000,085,118,00,+,1,0,-040,+000,1837,0749,0235,0794,1995,101147,10000,00:00:00,00000000,000000000,00000
00014107,0882,0000,0000,0000,00,0000,000,081,136,00,+,1,0,-026,-024,1841,0759,0099,0923,9439,101150,10000,00:00:00,00000000,000000000,00000
00014607,0888,0000,0000,0000,00,0000,000,073,164,00,+,1,0,-051,-010,1846,0781,0160,0923,2004,101150,10000,00:00:00,00000000,000000000,00000
00015107,0888,0000,0000,0000,00,0000,000,073,164,00,+,1,0,-047,-018,1855,0781,0160,0923,2003,101148,10000,00:00:00,00000000,000000000,00000
00015607,0888,0000,0000,0000,00,0000,000,072,172,00,+,1,0,-037,-023,1855,0796,0040,0923,2005,101148,10000,00:00:00,00000000,000000000,00000
00016107,0888,0000,0000,0000,00,0000,000,072,172,00,+,1,0,-048,-014,1860,0796,0040,0923,2006,101151,10000,00:00:00,00000000,000000000,00000
00017107,0094,0000,0000,0000,00,0000,000,072,154,00,+,1,0,-050,-014,1860,0762,0076,0794,9439,101149,10000,00:00:00,00000000,000000000,00000
00017607,0128,0000,0000,0000,00,0000,000,071,143,00,+,1,0,-038,+016,1855,0774,0089,0794,2013,101149,10000,00:00:00,00000000,000000000,00000
00018107,0107,0000,0000,0000,00,0000,000,071,143,00,+,1,0,-029,-034,1860,0774,0089,0794,2013,101149,10000,00:00:00,00000000,000000000,00000
00018607,0134,0000,0000,0000,00,0000,000,070,128,00,+,1,0,-051,-023,1865,0793,0074,0794,2014,101148,10000,00:00:00,00000000,000000000,00000
00019107,0109,0000,0000,0000,00,0000,000,070,128,00,+,1,0,-040,+010,1855,0793,0074,0792,2015,101149,10000,00:00:00,00000000,000000000,00000
00019607,0142,0000,0000,0000,00,0000,000,089,091,00,+,1,0,-036,-010,1870,0800,0009,0794,2017,101152,10000,00:00:00,00000000,000000000,00000
00020107,0121,0000,0000,0000,00,0000,000,089,091,00,+,1,0,-045,+011,1874,0800,0009,0792,2019,101150,10000,00:00:00,00000000,000000000,00000
00020608,0136,0000,0000,0000,00,0000,000,090,090,00,+,1,0,-044,-010,1860,0800,0007,0794,2020,101146,10000,00:00:00,00000000,000000000,00000
00021108,0119,0000,0000,0000,00,0000,000,090,090,00,+,1,0,-036,-024,1865,0799,0024,0792,2022,101150,10000,00:00:00,00000000,000000000,00000
00021608,0121,0000,0000,0000,00,0000,000,089,096,00,+,1,0,-053,+003,1865,0792,0051,0794,2024,101149,10000,00:00:00,00000000,000000000,00000
00022108,0134,0000,0000,0000,00,0000,000,089,096,00,+,1,0,-050,+005,1874,0792,0051,0794,2025,101151,10000,00:00:00,00000000,000000000,00000
00022608,0111,0000,0000,0000,00,0000,000,085,104,00,+,1,0,-040,+007,1870,0792,0061,0794,2027,101150,10000,00:00:00,00000000,000000000,00000
00023108,0134,0000,0000,0000,00,0000,000,085,104,00,+,1,0,-038,-006,1870,0792,0061,0794,2028,101148,10000,00:00:00,00000000,000000000,00000
00023608,0136,0000,0000,0000,00,0000,000,085,119,00,+,1,0,-060,-001,1874,0794,0059,0794,2030,101148,10000,00:00:00,00000000,000000000,00000
00024108,0142,0000,0000,0000,00,0000,000,085,125,00,+,1,0,-050,-012,1870,0791,0071,0794,2031,101149,10000,00:00:00,00000000,000000000,00000
00024608,0102,0000,0000,0000,00,0000,000,084,137,00,+,1,0,-049,-024,1879,0793,0072,0792,2032,101148,10000,00:00:00,00000000,000000000,00000
00025108,0111,0000,0000,0000,00,0000,000,084,137,00,+,1,0,-038,-013,1874,0793,0072,0794,2034,101148,10000,00:00:00,00000000,000000000,00000
00025608,0100,0000,0000,0000,00,0000,000,082,142,00,+,1,0,-049,-016,1884,0794,0065,0794,2035,101149,10000,00:00:00,00000000,000000000,00000
00026152,0132,0000,0000,0000,00,0000,000,082,143,00,+,1,0,-044,-015,1884,0793,0064,0792,2037,101148,10000,00:00:00,00000000,000000000,00000
