time [ms],altitude [cm],airspeed [x0.01 m/s],angle_of_attack [x0.1 deg],airdata_pressure [hPa],airdata_temperature [degC],rotation [x0.1 rpm],rotation_voltage [0.01 V],elevator_angle,rudder_angle,trim_sign,servo_received,screen_toggle,pitch [x0.1 deg],roll [x0.1 deg],gyro_temperature [x0.01 degC],servo_voltage [x0.01 V],servo_current [x0.01 A],main_voltage [x0.01 V],temperature [x0.01 degC],pressure [x0.01 hPa],humidity [x0.01 p.c.]
2402572,73,101,386,1010,30,0,395,101,89,11,1,0,-21,19,2891,760,17,761,3134,100607,6714
2403072,73,114,383,1010,30,0,393,101,89,11,1,0,-21,26,2905,759,19,761,3134,100604,6712
2403572,73,119,386,1010,30,0,395,101,89,11,1,0,-31,29,2905,760,18,761,3134,100601,6710
2404072,73,123,383,1010,30,0,395,101,89,11,1,0,-24,25,2905,760,15,759,3136,100606,6709
2404572,73,116,386,1010,30,0,395,101,89,11,1,0,-32,26,2910,759,17,761,3135,100607,6709
2405072,73,124,383,1010,30,0,393,101,89,11,1,0,-25,23,2900,760,15,761,3136,100605,6712
2405572,73,108,386,1010,30,0,395,101,89,11,1,0,-30,27,2910,760,16,759,3135,100605,6712
2406072,73,109,383,1010,30,0,395,101,89,11,1,0,-17,32,2900,759,21,759,3136,100605,6714
2406572,73,109,386,1010,30,0,393,101,89,11,1,0,-18,33,2900,760,11,759,3136,100607,6715
2407072,75,69,386,1010,30,0,393,101,89,11,1,0,-35,8,2910,760,18,761,3137,100610,6713
2407572,75,102,386,1010,30,0,393,101,89,11,1,0,-20,32,2910,760,16,759,3137,100606,6712
2408072,73,77,386,1010,30,0,395,101,89,11,1,0,-33,34,2905,756,18,759,3137,100606,6710
2408572,75,87,386,1010,30,0,395,101,89,11,1,0,-22,29,2900,760,14,761,3137,100609,6710
2409072,73,79,383,1010,30,0,395,101,89,11,1,0,-22,29,2905,760,17,761,3138,100608,6711
2409572,73,91,383,1010,30,0,395,101,89,11,1,0,-30,29,2910,759,20,759,3138,100606,6712
2410072,73,87,386,1010,30,0,395,101,89,11,1,0,-28,28,2910,760,20,759,3139,100607,6716
2410572,73,92,386,1010,30,0,395,101,89,11,1,0,-1,40,2900,760,15,761,3139,100605,6716
2411072,73,86,386,1010,30,0,391,101,89,11,1,0,-40,33,2900,758,12,761,3140,100606,6715
2411572,73,75,386,1010,30,0,393,101,89,11,1,0,-37,20,2905,760,14,759,3141,100608,6714
2412072,71,101,386,1010,30,0,395,101,89,11,1,0,-32,33,2914,760,13,759,3139,100607,6712
2412572,73,94,383,1010,30,0,395,101,89,11,1,0,-28,39,2914,753,10,759,3139,100607,6712
2413072,69,101,386,1010,30,0,395,101,89,11,1,0,-25,28,2910,760,20,759,3139,100608,6713
2413572,73,108,386,1010,30,0,393,101,89,11,1,0,-31,33,2919,760,20,759,3139,100607,6713
2414072,73,108,386,1010,30,0,393,101,89,11,1,0,-26,36,2900,760,16,759,3138,100606,6718
2414572,73,105,386,1010,30,0,395,101,89,11,1,0,-32,24,2900,760,17,759,3139,100605,6718
2415072,73,100,386,1010,30,0,393,101,89,11,1,0,-25,38,2895,760,20,759,3139,100606,6720
2415572,73,87,383,1010,30,0,393,101,89,11,1,0,-35,17,2914,760,25,759,3140,100606,6723
2416072,73,97,383,1010,30,0,395,101,89,11,1,0,-33,30,2910,760,18,759,3141,100602,6724
2416572,73,107,383,1010,30,0,395,101,89,11,1,0,-26,38,2910,760,20,761,3142,100603,6724
2417072,69,81,383,1010,30,0,395,101,89,11,1,0,-18,34,2910,760,21,759,3143,100604,6725
2417572,73,82,383,1010,30,0,395,101,89,11,1,0,-19,29,2910,760,15,761,3143,100604,6725
