time [ms],altitude [cm],airspeed [x0.01 m/s],angle_of_attack [x0.1 deg],airdata_pressure [hPa],airdata_temperature [degC],rotation [x0.1 rpm],rotation_voltage [0.01 V],elevator_angle,rudder_angle,trim,trim_sign,servo_received,screen_toggle,pitch [x0.1 deg],roll [x0.1 deg],gyro_temperature [x0.01 degC],servo_voltage [x0.01 V],servo_current [x0.01 A],main_voltage [x0.01 V],temperature [x0.01 degC],pressure [x0.01 hPa],humidity [x0.01 p.c.],
00000574,0052,0000,3596,1009,26,0000,404,090,090,00,+,0,0,-036,+022,2364,0000,0000,0390,2651,100550,9044,
00001074,0102,0000,3596,1009,26,0000,404,089,089,01,-,1,0,-056,-011,2378,0768,0019,0788,2655,100551,9052,
00001574,0098,0000,3596,1009,26,0000,404,089,089,01,-,1,0,-060,+024,2383,0772,0009,0786,2658,100550,9055,
00002074,0096,0000,3596,1009,26,0000,404,089,089,01,-,1,0,-042,+015,2387,0765,0012,0786,2658,100546,9056,
00002574,0094,0000,3592,1009,26,0000,406,089,089,01,-,1,0,-035,+020,2387,0773,0014,0786,2659,100552,9057,
00003074,0092,0000,3596,1009,26,0000,404,089,089,01,-,1,0,-039,+000,2397,0772,0017,0788,2660,100550,9056,
00003574,0092,0000,3592,1009,26,0000,404,089,089,01,-,1,0,-032,+017,2387,0770,0017,0786,2661,100549,9054,
00004074,0092,0000,3592,1009,26,0000,404,089,089,01,-,1,0,-037,+016,2387,0772,0019,0786,2661,100552,9051,
00004574,0092,0000,3592,1009,26,0000,404,089,089,01,-,1,0,-038,+009,2387,0772,0012,0786,2662,100552,9049,
00005074,0092,0000,3592,1009,26,0000,404,089,089,01,-,1,0,-040,+012,2397,0772,0017,0786,2662,100551,9045,
00005574,0092,0000,3592,1009,26,0000,404,089,089,01,-,1,0,-033,+015,2401,0772,0018,0786,2663,100550,9045,
00006074,0092,0000,3589,1009,26,0000,404,089,089,01,-,1,0,-035,+018,2401,0764,0021,0786,2665,100553,9043,
00006574,0090,0000,3589,1009,26,0000,404,089,089,01,-,1,0,-037,+006,2397,0773,0015,0786,2665,100552,9040,
00007074,0092,0000,3592,1009,26,0000,404,089,089,01,-,1,0,-036,+014,2401,0773,0013,0786,2665,100551,9038,
00007574,0092,0000,3592,1009,26,0000,404,089,089,01,-,1,0,-036,+005,2401,0772,0019,0786,2667,100551,9035,
