time [ms],altitude [cm],airspeed [x0.01 m/s],angle_of_attack [x0.1 deg],airdata_pressure [hPa],airdata_temperature [degC],rotation [x0.1 rpm],rotation_voltage [0.01 V],elevator_angle,rudder_angle,trim,trim_sign,servo_received,screen_toggle,pitch [x0.1 deg],roll [x0.1 deg],gyro_temperature [x0.01 degC],servo_voltage [x0.01 V],servo_current [x0.01 A],main_voltage [x0.01 V],temperature [x0.01 degC],pressure [x0.01 hPa],humidity [x0.01 p.c.],
03094572,0069,0125,2932,1019,32,0000,369,101,090,11,+,1,0,-028,-029,3154,0779,0022,0750,3368,101344,5781,
03095072,0069,0133,2932,1019,32,0000,369,101,090,11,+,1,0,-023,-028,3159,0781,0019,0750,3368,101344,5790,
03095572,0069,0120,2935,1019,33,0000,369,101,090,11,+,1,0,-026,-019,3150,0781,0020,0750,3368,101342,5788,
03096072,0069,0145,2935,1019,33,0000,369,101,090,11,+,1,0,-032,-028,3154,0781,0018,0750,3368,101344,5785,
03096572,0069,0144,2932,1019,33,0000,369,101,090,11,+,1,0,-027,-028,3150,0781,0020,0750,3365,101342,5783,
03097072,0069,0142,2932,1019,32,0000,369,101,090,11,+,1,0,-030,-029,3150,0781,0021,0750,3362,101340,5787,
03097572,0069,0171,2932,1019,32,0000,369,101,090,11,+,1,0,-029,-026,3164,0781,0025,0750,3362,101342,5788,
03098072,0069,0132,2932,1019,32,0000,369,101,090,11,+,1,0,-027,-029,3150,0781,0017,0750,3362,101341,5789,
03098572,0069,0150,2932,1019,33,0000,369,101,090,11,+,1,0,-033,-035,3154,0781,0019,0750,3363,101340,5796,
03099072,0069,0163,2932,1019,33,0000,369,101,090,11,+,1,0,-027,-019,3154,0781,0020,0750,3363,101342,5798,
03099572,0069,0127,2935,1019,33,0000,369,101,090,11,+,1,0,-025,-031,3150,0781,0023,0750,3366,101339,5798,
03100072,0069,0141,2935,1019,33,0000,367,101,090,11,+,1,0,-032,-034,3150,0781,0020,0750,3366,101342,5796,
03100572,0069,0162,2932,1019,32,0000,369,101,090,11,+,1,0,-027,-035,3150,0781,0022,0750,3367,101343,5796,
03101072,0069,0154,2935,1019,32,0000,369,101,090,11,+,1,0,-028,-035,3154,0781,0020,0750,3365,101343,5799,
03101572,0069,0183,2935,1019,33,0000,369,101,090,11,+,1,0,-025,-034,3154,0778,0024,0750,3363,101343,5801,
03102072,0069,0175,2932,1019,33,0000,367,101,090,11,+,1,0,-028,-035,3154,0780,0017,0750,3361,101342,5804,
03102572,0069,0188,2935,1019,33,0000,369,101,090,11,+,1,0,-030,-043,3159,0781,0021,0750,3359,101343,5806,
03103072,0069,0190,2932,1019,32,0000,369,101,090,11,+,1,0,-026,-038,3154,0781,0015,0750,3361,101341,5804,
03103572,0069,0182,2932,1019,33,0000,369,101,090,11,+,1,0,-026,-034,3150,0781,0021,0750,3361,101341,5803,
03104072,0069,0170,2932,1019,32,0000,369,101,090,11,+,1,0,-031,-033,3154,0781,0016,0750,3361,101340,5803,
03104572,0069,0177,2932,1019,33,0000,369,101,090,11,+,1,0,-033,-043,3159,0780,0013,0750,3363,101343,5802,
03105072,0069,0167,2935,1019,33,0000,369,101,090,11,+,1,0,-028,-041,3154,0778,0022,0750,3362,101341,5803,
03105572,0069,0198,2932,1019,33,0000,369,101,090,11,+,1,0,-024,-037,3145,0781,0015,0750,3361,101341,5800,
03106072,0069,0184,2935,1019,33,0000,369,101,090,11,+,1,0,-030,-036,3154,0781,0023,0750,3361,101341,5800,
03106572,0069,0179,2932,1019,33,0000,369,101,090,11,+,1,0,-030,-045,3154,0775,0016,0750,3359,101342,5797,
03107072,0069,0180,2932,1019,33,0000,369,101,090,11,+,1,0,-030,-047,3145,0781,0016,0750,3357,101342,5793,
03107572,0069,0174,2935,1019,33,0000,369,101,090,11,+,1,0,-027,-041,3159,0781,0015,0750,3358,101342,5790,
03108072,0069,0178,2935,1019,33,0000,369,101,090,11,+,1,0,-024,-036,3154,0780,0017,0752,3357,101343,5787,
03108572,0069,0186,2935,1019,33,0000,369,101,090,11,+,1,0,-029,-034,3164,0781,0021,0750,3357,101342,5783,
03109072,0069,0174,2932,1019,33,0000,369,101,090,11,+,1,0,-027,-045,3154,0781,0018,0750,3356,101344,5781,
03109572,0069,0165,2935,1019,33,0000,369,101,090,11,+,1,0,-026,-037,3154,0780,0021,0750,3354,101342,5783,
03110072,0069,0165,2935,1019,33,0000,369,101,090,11,+,1,0,-032,-041,3154,0781,0017,0752,3353,101341,5785,
03110572,0069,0151,2935,1019,33,0000,369,101,090,11,+,1,0,-028,-041,3150,0781,0020,0750,3352,101341,5789,
03111072,0069,0150,2932,1019,33,0000,367,101,090,11,+,1,0,-013,-039,3159,0781,0019,0750,3353,101343,5790,
03111572,0069,0159,2932,1019,33,0000,369,101,090,11,+,1,0,-036,-041,3150,0777,0019,0750,3353,101342,5792,
03112072,0069,0156,2932,1019,33,0000,369,101,090,11,+,1,0,-036,-038,3150,0781,0023,0750,3353,101344,5796,
03112572,0069,0156,2932,1019,33,0000,369,101,090,11,+,1,0,-026,-046,3145,0781,0019,0750,3355,101344,5796,
03113072,0069,0164,2932,1019,33,0000,369,101,090,11,+,1,0,-029,-039,3154,0772,0022,0750,3357,101341,5795,
03113572,0069,0132,2932,1019,33,0000,369,101,090,11,+,1,0,-032,-034,3164,0781,0018,0752,3357,101344,5795,
03114072,0069,0173,2932,1019,33,0000,369,101,090,11,+,1,0,-043,-034,3154,0781,0019,0750,3358,101345,5794,
03114572,0069,0165,2932,1019,33,0000,369,101,090,11,+,1,0,-021,-039,3154,0779,0019,0750,3358,101343,5792,
03115072,0071,0172,2935,1019,33,0000,369,101,090,11,+,1,0,-022,-042,3150,0781,0016,0750,3357,101343,5788,
03115572,0069,0177,2932,1019,33,0000,369,101,090,11,+,1,0,+110,-358,3154,0781,0021,0752,3358,101345,5786,
03116072,0069,0168,2935,1019,33,0000,369,101,090,11,+,1,0,-070,-026,3150,0781,0014,0752,3358,101340,5784,
