time [ms],altitude [cm],airspeed [x0.01 m/s],angle_of_attack [x0.1 deg],airdata_pressure [hPa],airdata_temperature [degC],rotation [x0.1 rpm],rotation_voltage [0.01 V],elevator_angle,rudder_angle,trim,trim_sign,servo_received,screen_toggle,pitch [x0.1 deg],roll [x0.1 deg],gyro_temperature [x0.01 degC],servo_voltage [x0.01 V],servo_current [x0.01 A],main_voltage [x0.01 V],temperature [x0.01 degC],pressure [x0.01 hPa],humidity [x0.01 p.c.],
01561072,0069,0128,2925,1018,30,0000,371,101,090,11,+,1,0,-024,+050,3027,0787,0020,0753,3268,101324,6128,
01561572,0069,0130,2925,1018,30,0000,369,101,090,11,+,1,0,-026,+050,3018,0787,0025,0753,3265,101324,6127,
01562072,0069,0119,2925,1018,30,0000,371,101,090,11,+,1,0,-019,+050,3023,0786,0022,0753,3265,101324,6128,
01562572,0069,0114,2925,1018,30,0000,371,101,090,11,+,1,0,-026,+053,3018,0787,0020,0753,3267,101322,6128,
01563072,0069,0116,2925,1018,30,0000,369,101,090,11,+,1,0,-025,+047,3013,0787,0017,0753,3268,101323,6127,
01563572,0069,0115,2925,1018,30,0000,369,101,090,11,+,1,0,-025,+046,3004,0787,0017,0753,3267,101323,6127,
01564072,0069,0108,2925,1018,30,0000,371,101,090,11,+,1,0,-019,+039,3004,0787,0018,0752,3268,101323,6126,
01564572,0069,0121,2925,1018,30,0000,369,101,090,11,+,1,0,-021,+040,3008,0787,0017,0753,3268,101322,6125,
01565072,0069,0134,2925,1018,30,0000,371,101,090,11,+,1,0,-022,+025,3013,0787,0013,0753,3267,101323,6125,
01565572,0069,0138,2925,1018,30,0000,369,101,090,11,+,1,0,-019,+036,3013,0787,0019,0753,3269,101322,6125,
01566072,0069,0126,2921,1018,30,0000,369,101,090,11,+,1,0,-023,+043,3023,0787,0019,0753,3270,101321,6124,
01566572,0069,0132,2925,1018,30,0000,369,101,090,11,+,1,0,-034,+043,3018,0787,0020,0753,3269,101322,6124,
01567072,0069,0131,2925,1018,30,0000,369,101,090,11,+,1,0,-029,+059,3013,0783,0016,0753,3268,101322,6123,
01567572,0069,0126,2925,1018,30,0000,369,101,090,11,+,1,0,-022,+045,3013,0787,0021,0753,3269,101321,6124,
01568072,0069,0118,2925,1018,30,0000,369,101,090,11,+,1,0,-020,+049,3013,0787,0023,0753,3269,101323,6123,
01568572,0069,0129,2925,1018,30,0000,369,101,090,11,+,1,0,-023,+036,3013,0785,0018,0753,3268,101323,6125,
01569072,0069,0115,2925,1018,30,0000,369,101,090,11,+,1,0,-022,+057,3013,0787,0024,0753,3266,101321,6127,
01569572,0069,0121,2925,1018,31,0000,369,101,090,11,+,1,0,-026,+053,3008,0787,0018,0753,3265,101323,6128,
01570072,0069,0113,2925,1018,30,0000,369,101,090,11,+,1,0,-030,+092,3018,0785,0024,0753,3264,101321,6131,
01570572,0069,0118,2925,1018,30,0000,369,101,090,11,+,1,0,-026,+048,3023,0787,0020,0753,3265,101321,6132,
01571072,0069,0109,2925,1018,30,0000,369,101,090,11,+,1,0,-014,-057,3023,0787,0018,0753,3267,101320,6131,
01571572,0069,0102,2925,1018,30,0000,369,101,090,11,+,1,0,-036,+050,3018,0786,0022,0753,3268,101320,6133,
01572072,0069,0106,2925,1018,30,0000,369,101,090,11,+,1,0,-030,+058,3018,0787,0019,0753,3269,101322,6132,
01572572,0069,0108,2925,1018,30,0000,369,101,090,11,+,1,0,-026,+055,3013,0786,0028,0753,3269,101321,6131,
01573072,0069,0099,2925,1018,30,0000,371,101,090,11,+,1,0,-046,+043,3018,0786,0023,0753,3267,101321,6128,
01573572,0069,0115,2925,1018,31,0000,371,101,090,11,+,1,0,-014,+073,3013,0787,0024,0752,3268,101319,6127,
01574072,0069,0119,2925,1018,30,0000,369,101,090,11,+,1,0,-040,+025,3008,0787,0020,0753,3267,101321,6128,
01574572,0069,0113,2925,1018,30,0000,369,101,090,11,+,1,0,-047,+039,3013,0786,0022,0753,3267,101318,6129,
01575072,0069,0101,2925,1018,30,0000,371,101,088,11,+,1,0,-024,+052,3018,0785,0020,0753,3268,101321,6128,
01575572,0069,0112,2925,1018,30,0000,371,101,090,11,+,1,0,-026,+056,3018,0787,0019,0753,3268,101320,6128,
01576072,0069,0104,2925,1018,31,0000,371,101,090,11,+,1,0,-021,+055,3008,0787,0020,0753,3268,101321,6127,
01576572,0069,0094,2925,1018,30,0000,369,101,090,11,+,1,0,-023,+059,3018,0781,0019,0753,3269,101320,6126,
01577072,0069,0095,2925,1018,31,0000,371,101,090,11,+,1,0,-027,+057,3018,0787,0025,0753,3270,101324,6126,
01577572,0069,0124,2925,1018,31,0000,369,101,090,11,+,1,0,-023,+056,3027,0787,0021,0753,3271,101321,6124,
01578072,0069,0110,2925,1018,31,0000,369,101,090,11,+,1,0,-019,+061,3023,0783,0019,0753,3271,101322,6121,
01578572,0069,0094,2925,1018,30,0000,369,101,090,11,+,1,0,-024,+066,3018,0787,0020,0753,3270,101321,6121,
