altitude,rotation,airspeed
000030,000000,000000
000030,000000,000100
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000123
000030,000000,000222
000030,000000,000201
000030,000000,000102
000030,000000,000102
000030,000000,000107
000031,000000,000107
000030,000000,000107
000030,000000,000000
000031,000000,000000
000030,000000,000000
000030,000000,000099
000030,000000,000099
000030,000000,000099
000030,000000,000099
000031,000000,000000
000031,000000,000000
000030,000000,000000
000030,000000,000000
000031,000000,000000
000031,000000,000000
000031,000000,000000
000031,000000,000000
000030,000000,000000
000031,000000,000000
000031,000000,000000
000031,000000,000000
000030,000000,000000
000031,000000,000000
000030,000000,000000
000031,000000,000000
000030,000000,000000
000030,000000,000000
000031,000000,000000
000031,000000,000075
000030,000000,000165
000030,000000,000090
000031,000000,000198
000030,000000,000107
000031,000000,000114
000030,000000,000114
000030,000000,000114
000030,000000,000114
000030,000000,000081
000030,000000,000186
000030,000000,000218
000031,000000,000229
000030,000000,000116
000031,000000,000116
000030,000000,000105
000030,000000,000208
000030,000000,000102
000031,000000,000102
000030,000000,000000
000030,000000,000000
000030,000000,000000
000031,000000,000106
000030,000000,000106
000030,000000,000106
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000191
000030,000000,000191
000030,000000,000101
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000105
000030,000000,000105
000030,000000,000105
000030,000000,000000
000030,000000,000103
000030,000000,000103
000030,000000,000103
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000025
000030,000000,000145
000030,000000,000222
000030,000000,000102
000030,000000,000102
000030,000000,000075
000030,000000,000075
000030,000000,000075
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000086
000030,000000,000212
000030,000000,000212
000030,000000,000126
000030,000000,000058
000030,000000,000155
000030,000000,000103
000030,000000,000097
000030,000000,000108
000030,000000,000108
000030,000000,000108
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000124
000030,000000,000220
000030,000000,000096
000030,000000,000221
000030,000000,000341
000030,000000,000341
000030,000000,000119
000031,000000,000000
000030,000000,000170
000030,000000,000170
000030,000000,000168
000030,000000,000069
000030,000000,000069
000030,000000,000000
000030,000000,000096
000030,000000,000096
000030,000000,000218
000030,000000,000121
000030,000000,000121
000031,000000,000107
000030,000000,000107
000030,000000,000107
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000098
000030,000000,000215
000030,000000,000215
000030,000000,000117
000030,000000,000063
000030,000000,000063
000030,000000,000230
000030,000000,000166
000030,000000,000166
000030,000000,000183
000030,000000,000183
000030,000000,000191
000030,000000,000116
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000031,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000031,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000076
000030,000000,000076
000030,000000,000076
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000031,000000,000000
000031,000000,000000
000031,000000,000000
000030,000000,000000
000030,000000,000000
000031,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000031,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000107
000030,000000,000191
000030,000000,000084
000030,000000,000084
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000031,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000124
000030,000000,000187
000030,000000,000187
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000031,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000096
000030,000000,000096
000031,000000,000096
000030,000000,000094
000031,000000,000094
000030,000000,000094
000030,000000,000000
000030,000000,000110
000030,000000,000110
000031,000000,000110
000031,000000,000098
000031,000000,000195
000030,000000,000096
000030,000000,000059
000030,000000,000059
000030,000000,000059
000030,000000,000105
000030,000000,000105
000030,000000,000000
000030,000000,000000
000030,000000,000109
000030,000000,000109
000030,000000,000000
000030,000000,000065
000030,000000,000065
000030,000000,000107
000030,000000,000107
000031,000000,000227
000031,000000,000119
000030,000000,000000
000031,000000,000000
000030,000000,000000
000030,000000,000073
000031,000000,000073
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000115
000030,000000,002346
000030,000000,002528
000030,000000,000345
000031,000000,000260
000030,000000,000097
000030,000000,000191
000030,000000,000094
000030,000000,000094
000030,000000,000226
000030,000000,000226
000030,000000,000000
000031,000000,000000
000030,000000,000000
000030,000000,000000
000031,000000,000096
000030,000000,000209
000031,000000,000144
000030,000000,000114
000031,000000,000180
000031,000000,000275
000031,000000,000191
000030,000000,000095
000031,000000,000000
000030,000000,000000
000030,000000,000000
000031,000000,000107
000031,000000,000210
000030,000000,000210
000031,000000,000102
000031,000000,000102
000031,000000,000000
000031,000000,000000
000031,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000111
000030,000000,000324
000030,000000,000314
000030,000000,000248
000030,000000,000126
000030,000000,000024
000030,000000,000108
000030,000000,000108
000030,000000,000108
000030,000000,000106
000030,000000,000106
000030,000000,000106
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000031,000000,000000
000031,000000,000162
000030,000000,000162
000030,000000,000162
000030,000000,000000
000030,000000,000000
000031,000000,000087
000030,000000,000087
000030,000000,000087
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000104
000030,000000,000208
000030,000000,000226
000030,000000,000314
000030,000000,000088
000031,000000,000132
000030,000000,000044
000030,000000,000044
000030,000000,000074
000030,000000,000100
000030,000000,000100
000030,000000,000112
000030,000000,000086
000030,000000,000000
000030,000000,000000
000030,000000,000098
000030,000000,000098
000030,000000,000197
000031,000000,000099
000030,000000,000220
000030,000000,002749
000030,000000,003288
000030,000000,000539
000030,000000,000000
000030,000000,000000
000030,000000,000207
000030,000000,000207
000030,000000,000107
000030,000000,000000
000031,000000,000000
000030,000000,000000
000030,000000,000094
000030,000000,000094
000030,000000,000177
000030,000000,000083
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000106
000030,000000,000106
000030,000000,000091
000030,000000,000097
000030,000000,000196
000030,000000,000104
000030,000000,000097
000030,000000,000097
000030,000000,000195
000030,000000,000098
000031,000000,000221
000030,000000,000237
000031,000000,000211
000030,000000,000097
000030,000000,000193
000030,000000,000200
000030,000000,000200
000030,000000,000089
000030,000000,001551
000030,000000,005334
000030,000000,005227
000031,000000,003783
000030,000000,000000
000030,000000,000000
000030,000000,000181
000030,000000,000181
000030,000000,000203
000030,000000,000350
000030,000000,000236
000030,000000,000110
000030,000000,000110
000030,000000,000000
000030,000000,000000
000030,000000,000000
000030,000000,000115
000030,000000,000222
000030,000000,000195
000030,000000,000294
000030,000000,000186
000030,000000,000116
000031,000000,000116
000030,000000,000108
000031,000000,000108
000030,000000,000131
