time*0.5 [s],altitude [cm],rotation [rpm],airspeed [m/s],yaw [deg],pitch [deg],roll [deg]
1,0,33,1.545,-32.35,0.33,-0.99
2,0,33,1.532,-32.35,0.33,-0.99
3,0,33,1.499,-32.27,0.33,-1.34
4,0,33,1.407,-32.27,0.28,-1.21
5,0,33,1.343,-32.27,0.28,-1.21
6,0,33,1.306,-32.75,0.35,-0.87
7,0,33,1.275,-32.75,0.35,-0.87
8,0,33,1.26,-33.05,0.42,-0.55
9,1,33,1.248,-33.05,0.42,-0.55
10,1,33,1.233,-32.92,0.62,-0.95
11,1,33,1.229,-32.92,0.62,-0.95
12,1,33,1.233,-32.92,0.62,-0.95
13,1,33,1.212,-32.92,0.62,-0.95
14,1,33,1.156,-32.92,0.62,-0.95
15,1,33,1.089,-33.08,0.9,-0.54
16,1,33,1.038,-33.08,0.9,-0.54
17,1,33,1.014,-33.15,0.79,-0.66
18,1,33,1.016,-33.15,0.79,-0.66
19,1,33,1.033,-33.25,0.78,-0.54
20,0,33,1.071,-33.25,0.78,-0.54
21,0,33,1.124,-33.22,1.09,-0.42
22,0,33,1.162,-33.22,1.09,-0.42
23,0,33,1.189,-33.23,0.68,-0.46
24,0,33,1.182,-33.26,0.58,-0.45
25,0,33,1.173,-33.26,0.58,-0.45
26,0,33,1.198,-33.21,0.46,-0.47
27,0,33,1.21,-33.21,0.46,-0.47
28,0,33,1.205,-33.21,0.4,0.0
29,0,33,1.194,-33.21,0.4,0.0
30,0,33,1.173,-33.21,0.32,-0.2
31,0,33,1.165,-33.21,0.32,-0.2
32,0,33,1.173,-33.25,0.32,-0.03
33,0,33,1.187,-33.25,0.32,-0.03
34,0,33,1.21,-33.28,0.38,-0.23
35,0,33,1.267,-33.35,0.25,-0.08
36,0,33,1.298,-33.38,0.29,0.07
37,0,33,1.308,-33.35,0.34,-0.12
38,0,33,1.316,-33.35,0.34,-0.12
39,0,33,1.376,-33.46,0.31,0.25
40,0,33,1.437,-33.46,0.31,0.25
41,0,33,1.505,-33.35,0.28,-0.25
42,0,33,1.552,-33.35,0.28,-0.25
43,0,33,1.597,-33.43,0.34,0.21
44,0,33,1.634,-33.43,0.34,0.21
45,0,33,1.691,-33.43,0.34,0.21
46,0,33,1.728,-33.45,0.34,0.38
47,0,33,1.765,-33.45,0.34,0.38
48,0,33,1.8,-33.43,0.32,0.07
49,0,33,1.8,-33.43,0.32,0.07
50,0,33,1.809,-33.43,0.33,0.22
51,0,33,1.827,-33.43,0.33,0.22
52,0,33,1.827,-33.43,0.33,0.22
53,0,33,1.818,-33.47,0.36,0.48
54,0,33,1.8,-33.47,0.36,0.48
55,0,33,1.769,-33.47,0.36,0.48
56,0,33,1.736,-33.48,0.36,0.45
57,0,33,1.728,-33.49,0.36,0.44
58,0,33,1.707,-33.49,0.36,0.44
59,0,33,1.687,-33.52,0.36,0.44
60,0,33,1.676,-33.53,0.35,0.22
61,0,33,1.619,-33.52,0.36,0.19
62,0,33,1.58,-33.52,0.36,0.19
63,0,33,1.555,-33.48,0.34,0.07
64,0,33,1.539,-33.48,0.34,0.07
65,0,33,1.525,-33.48,0.34,0.07
66,0,33,1.532,-33.47,0.35,0.12
67,0,33,1.559,-33.47,0.35,0.12
68,0,33,1.566,-33.46,0.31,0.12
69,0,33,1.58,-33.46,0.31,0.12
70,0,33,1.601,-33.53,0.34,0.28
71,0,33,1.638,-33.53,0.34,0.28
72,0,33,1.664,-33.53,0.35,0.67
73,0,33,1.66,-33.52,0.33,0.69
74,0,33,1.649,-33.52,0.33,0.69
75,0,33,1.664,-33.56,0.28,0.25
76,0,33,1.691,-33.56,0.28,0.25
77,0,33,1.724,-33.58,0.23,0.37
78,0,33,1.748,-33.58,0.23,0.37
79,0,33,1.753,-33.6,0.27,0.43
80,0,33,1.8,-33.6,0.27,0.43
81,0,33,1.822,-33.57,0.3,0.22
82,0,33,1.85,-33.57,0.3,0.22
83,0,33,1.859,-33.69,0.48,0.66
84,0,33,1.836,-33.69,0.48,0.66
85,0,33,1.827,-33.9,0.58,0.9
86,0,33,1.831,-33.9,0.58,0.9
87,0,33,1.859,-33.9,0.58,0.9
88,0,33,1.878,-33.94,2.61,0.42
89,0,33,1.845,-33.94,2.61,0.42
90,0,33,1.757,-34.2,3.41,0.09
91,0,33,1.559,-34.2,3.41,0.09
92,0,33,1.431,-34.55,3.78,0.7
93,1,33,1.311,-34.55,3.78,0.7
94,1,33,1.139,-34.58,3.92,0.79
95,0,33,0.885,-34.58,3.92,0.79
96,0,33,0.675,-35.07,4.13,0.71
97,0,33,0.416,-34.75,4.24,1.6
98,1,33,0.416,-34.75,4.24,1.6
99,1,33,0.416,-34.31,3.32,1.03
100,0,33,0.034,-34.31,3.32,1.03
101,0,33,0.003,-33.96,1.4,0.0
102,0,33,0.126,-33.96,1.4,0.0
103,0,333,0.451,-33.96,1.4,0.0
104,0,466,0.758,-33.96,1.4,0.0
105,0,366,1.167,-33.96,1.4,0.0
106,0,466,1.452,-33.96,1.4,0.0
107,0,533,1.699,-33.96,1.4,0.0
108,0,566,1.854,-33.96,1.4,0.0
109,0,633,2.067,-33.23,1.79,5.38
110,0,366,2.208,-33.39,1.67,6.46
111,0,433,2.291,-33.39,1.67,6.46
112,0,566,2.428,-32.31,3.03,9.52
113,0,400,2.694,-32.31,3.03,9.52
114,0,533,2.851,-31.57,3.3,9.79
115,0,500,3.019,-31.78,5.1,9.02
116,0,500,3.137,-31.78,5.1,9.02
117,0,666,3.137,-30.85,6.2,7.72
118,0,633,3.2,-30.85,6.2,7.72
119,0,766,3.359,-30.02,4.71,7.31
120,0,666,3.217,-30.02,4.71,7.31
121,0,566,3.522,-29.83,-0.58,4.98
122,0,700,3.378,-29.83,-0.58,4.98
123,0,566,3.2,-31.9,0.82,8.6
124,0,466,3.359,-31.9,0.82,8.6
125,0,533,3.712,-34.39,3.57,8.7
126,0,466,3.544,-34.39,3.57,8.7
127,0,600,3.438,-36.5,2.02,5.66
128,0,633,3.764,-38.59,1.54,4.29
129,0,433,3.82,-38.59,1.54,4.29
130,0,600,3.939,-39.23,0.79,4.69
131,0,500,3.878,-39.23,0.79,4.69
132,1,466,4.146,-40.45,0.69,7.24
133,1,566,4.265,-40.45,0.69,7.24
134,1,433,3.971,-41.54,2.62,6.04
135,0,600,4.658,-41.54,2.62,6.04
136,0,733,5.164,-42.4,3.45,8.12
137,0,633,4.996,-42.4,3.45,8.12
138,0,600,4.719,-42.4,3.45,8.12
139,0,600,4.495,-42.4,3.45,8.12
140,0,600,4.719,-42.4,3.45,8.12
141,1,633,5.258,-39.0,-0.42,3.36
142,1,633,5.735,-39.0,-0.42,3.36
143,1,600,5.077,-40.99,-2.02,3.27
144,2,566,4.351,-40.99,-2.02,3.27
145,2,566,4.445,-42.48,-6.58,2.98
146,2,566,4.547,-42.48,-6.58,2.98
147,1,500,5.36,-40.26,-7.03,2.87
148,1,466,4.782,-40.26,-7.03,2.87
149,1,500,4.397,-32.84,-8.73,0.18
