time*0.5 [s],altitude [cm],rotation [rpm],airspeed [m/s],yaw [deg],pitch [deg],roll [deg]
1,0,133,0.974,9.79,0.22,-0.66
2,0,133,0.94,9.79,0.23,-0.56
3,0,133,0.94,9.79,0.23,-0.56
4,0,133,0.94,9.8,0.21,-0.59
5,0,133,0.94,9.8,0.21,-0.59
6,0,133,0.94,9.81,0.24,-0.11
7,0,133,0.94,9.81,0.23,-0.17
8,0,133,0.94,9.81,0.23,-0.17
9,0,133,0.94,9.84,0.22,-0.12
10,0,133,0.94,9.84,0.22,-0.12
11,0,133,0.94,9.84,0.19,-0.31
12,0,133,1.66,9.84,0.19,-0.31
13,0,133,1.657,9.86,0.23,-0.48
14,0,133,1.605,9.86,0.23,-0.48
15,0,133,1.559,9.86,0.23,-0.48
16,0,133,1.493,9.86,0.23,-0.48
17,0,133,1.437,9.86,0.23,-0.48
18,0,133,1.354,9.82,0.24,-0.53
19,0,133,1.248,9.82,0.24,-0.53
20,0,133,1.147,9.8,0.24,-0.56
21,0,133,1.075,9.8,0.24,-0.56
22,0,133,1.081,9.79,0.21,-0.38
23,0,133,1.126,9.79,0.21,-0.38
24,0,133,1.189,9.76,0.24,-0.59
25,0,133,1.233,9.76,0.24,-0.59
26,0,133,1.238,9.76,0.24,-0.59
27,0,133,1.221,9.76,0.24,-0.59
28,0,133,1.207,9.76,0.24,-0.59
29,0,133,1.207,9.76,0.24,-0.26
30,0,133,1.182,9.76,0.24,-0.26
31,0,133,1.158,9.78,0.23,-0.33
32,0,133,1.136,9.78,0.23,-0.33
33,0,133,1.151,9.79,0.22,-0.29
34,0,133,1.187,9.79,0.22,-0.29
35,0,133,1.245,9.79,0.23,-0.26
36,0,133,1.319,9.79,0.23,-0.26
37,0,133,1.373,9.79,0.22,-0.39
38,0,133,1.373,9.8,0.22,-0.38
39,0,133,1.376,9.8,0.22,-0.38
40,0,133,1.413,9.79,0.23,-0.36
41,0,133,1.443,9.79,0.23,-0.36
42,0,133,1.467,9.82,0.23,-0.49
43,0,133,1.489,9.82,0.23,-0.49
44,0,133,1.539,9.81,0.23,-0.26
45,0,133,1.605,9.81,0.23,-0.26
46,0,133,1.68,9.79,0.23,-0.33
47,0,133,1.778,9.79,0.23,-0.33
48,0,133,1.791,9.79,0.23,-0.33
49,0,133,1.796,9.76,0.21,-0.32
50,0,133,1.822,9.76,0.21,-0.32
51,0,133,1.859,9.77,0.23,-0.27
52,0,133,1.878,9.77,0.23,-0.27
53,0,133,1.902,9.78,0.23,-0.19
54,0,133,1.958,9.78,0.23,-0.19
55,0,133,1.994,9.76,0.21,-0.25
56,0,133,2.027,9.76,0.21,-0.25
57,0,133,2.055,9.75,0.22,-0.57
58,0,133,2.049,9.74,0.24,-0.35
59,0,133,2.061,9.74,0.24,-0.35
60,0,133,2.038,9.75,0.24,-0.51
61,0,133,1.994,9.75,0.24,-0.51
62,0,133,1.952,9.71,0.2,-0.22
63,0,133,1.927,9.71,0.2,-0.22
64,0,133,1.854,9.69,0.22,-0.38
65,0,133,1.796,9.69,0.22,-0.38
66,0,133,1.761,9.67,0.24,-0.35
67,0,133,1.769,9.67,0.24,-0.35
68,0,133,1.8,9.65,0.24,-0.33
69,0,133,1.827,9.65,0.24,-0.33
70,0,133,1.836,9.64,0.22,-0.45
71,0,133,1.809,9.68,0.21,-0.58
72,0,133,1.778,9.65,0.21,-0.39
73,0,133,1.732,9.64,0.22,-0.43
74,0,133,1.732,9.64,0.22,-0.43
75,0,133,1.748,9.64,0.24,-0.2
76,0,133,1.74,9.64,0.24,-0.2
77,0,133,1.664,9.63,0.23,-0.27
78,0,133,1.583,9.63,0.23,-0.27
79,0,133,1.499,9.69,0.23,-0.56
80,0,133,1.428,9.71,0.21,-0.57
81,0,133,1.356,9.71,0.21,-0.57
82,0,133,1.332,9.68,0.27,-0.05
83,0,133,1.332,9.68,0.27,-0.05
84,0,133,1.351,9.66,0.26,0.23
85,0,133,1.373,9.66,0.26,0.23
86,0,133,1.348,9.65,0.21,-0.16
87,0,133,1.311,9.65,0.21,-0.16
88,0,133,1.28,9.65,0.19,0.09
89,0,133,1.245,9.65,0.19,0.09
90,0,133,1.241,9.65,0.19,0.09
91,0,133,1.288,9.62,0.18,0.1
92,0,33,1.351,9.62,0.18,0.1
93,0,33,1.407,9.55,0.39,0.34
94,0,33,1.464,9.55,0.39,0.34
95,0,33,1.467,9.53,0.28,0.0
96,0,33,1.437,9.52,0.22,-0.26
97,0,33,1.401,9.52,0.22,-0.26
98,0,33,1.348,9.52,0.13,-0.19
99,0,33,1.26,9.52,0.13,-0.19
100,0,33,1.224,9.51,0.16,-0.28
101,0,33,1.185,9.51,0.16,-0.28
102,0,33,1.13,9.5,0.11,-0.22
103,0,33,1.13,9.5,0.11,-0.22
104,0,33,1.13,9.49,0.14,-0.07
105,0,33,1.13,9.49,0.14,-0.07
106,0,33,1.13,9.5,0.06,-0.31
107,0,33,1.13,9.5,0.06,-0.31
108,0,166,1.191,9.5,0.06,-0.31
109,0,366,1.182,9.48,0.24,-0.28
110,0,533,1.189,9.48,0.24,-0.28
111,0,566,1.205,9.48,0.24,-0.28
112,0,633,1.253,9.48,0.24,-0.28
113,0,566,1.272,9.49,1.19,0.18
114,0,600,1.272,9.49,1.19,0.18
115,0,566,1.455,9.39,3.3,0.23
116,0,466,1.634,9.39,3.3,0.23
117,0,666,1.809,9.61,4.78,0.87
118,0,533,2.061,9.66,4.6,0.1
119,0,366,2.327,9.66,4.6,0.1
120,0,533,2.604,9.39,5.42,1.46
121,1,533,2.951,9.39,5.42,1.46
122,1,600,3.184,9.39,5.42,1.46
123,0,666,3.286,9.39,5.42,1.46
124,0,433,3.168,10.7,5.07,-0.7
125,0,533,3.417,10.7,5.07,-0.7
126,0,600,3.661,12.4,5.13,-2.65
127,0,400,4.038,12.4,5.13,-2.65
128,0,533,4.601,11.84,5.23,2.22
129,0,566,5.164,11.53,4.07,2.08
130,0,566,5.473,11.53,4.07,2.08
131,0,633,5.473,10.71,2.4,1.16
132,0,566,5.473,10.71,2.4,1.16
133,2,666,5.473,10.39,2.14,2.24
134,2,666,6.074,10.39,2.14,2.24
135,0,666,6.074,10.23,0.63,0.69
136,0,766,6.891,10.23,0.63,0.69
137,0,700,6.891,10.58,0.75,-1.31
138,0,633,8.187,10.58,0.75,-1.31
139,0,666,6.891,11.44,-0.16,-5.64
140,1,733,6.552,11.42,-0.63,-6.0
141,1,766,6.074,11.42,-0.63,-6.0
142,1,733,5.735,10.55,-0.95,-5.4
143,1,633,6.074,10.55,-0.95,-5.4
144,0,633,5.892,8.9,-2.07,-6.67
145,0,766,5.597,8.9,-2.07,-6.67
146,0,766,5.597,6.54,1.14,-2.07
147,0,766,5.735,6.7,1.22,-2.13
148,0,700,5.735,6.7,1.22,-2.13
149,0,733,6.074,7.73,0.45,-2.54
150,0,800,6.074,7.73,0.45,-2.54
151,0,666,6.552,8.71,0.96,-2.74
152,0,600,6.552,8.71,0.96,-2.74
153,0,700,6.552,9.68,2.75,-2.47
154,0,700,7.369,9.68,2.75,-2.47
155,0,566,7.369,9.38,2.38,-3.48
156,0,700,7.369,9.38,2.38,-3.48
157,0,633,7.369,8.3,2.02,-1.85
158,0,366,7.369,8.3,2.02,-1.85
159,0,233,7.369,8.3,2.02,-1.85
160,0,400,7.369,8.3,2.02,-1.85
161,0,333,7.369,8.3,2.02,-1.85
