time*0.5 [s],altitude [cm],rotation [rpm],airspeed [m/s],yaw [deg],pitch [deg],roll [deg]
1,0,6.6,0.0,0.0,0.26,0.86
2,0,6.6,0.0,0.0,0.26,0.86
3,0,6.6,0.0,0.020000000000003126,0.26,1.06
4,0,6.6,0.0,0.020000000000003126,0.26,1.06
5,0,6.6,0.0,0.020000000000003126,0.26,1.06
6,0,6.6,0.0,0.00999999999999801,0.27,1.05
7,0,6.6,0.0,0.00999999999999801,0.27,1.05
8,0,6.6,0.0,0.04999999999999716,0.28,1.09
9,0,6.6,0.0,0.04999999999999716,0.28,1.09
10,0,6.6,0.0,0.04999999999999716,0.26,1.08
11,0,6.6,0.0,0.04999999999999716,0.26,1.08
12,0,6.6,0.0,0.0799999999999983,0.27,1.16
13,0,6.6,0.0,0.0799999999999983,0.27,1.16
14,0,6.6,0.0,0.10000000000000142,0.27,1.19
15,0,6.6,0.0,0.10000000000000142,0.27,1.19
16,0,6.6,0.0,0.10000000000000142,0.27,1.19
17,0,6.6,0.0,0.10000000000000142,0.28,1.16
18,0,6.6,0.0,0.10000000000000142,0.28,1.16
19,0,6.6,0.0,0.11999999999999744,0.27,1.18
20,0,6.6,0.0,0.11999999999999744,0.27,1.18
21,0,6.6,0.0,0.13000000000000256,0.26,1.22
22,0,6.6,0.0,0.13000000000000256,0.26,1.22
23,0,6.6,0.0,0.13000000000000256,0.27,1.24
24,0,6.6,0.0,0.13000000000000256,0.27,1.24
25,0,6.6,0.0,0.14000000000000057,0.26,1.24
26,0,6.6,0.0,0.14000000000000057,0.26,1.23
27,0,6.6,0.0,0.14000000000000057,0.26,1.23
28,0,6.6,0.0,0.14000000000000057,0.27,1.18
29,0,6.6,0.0,0.11999999999999744,0.27,1.21
30,0,6.6,0.0,0.13000000000000256,0.27,1.25
31,0,6.6,0.0,0.13000000000000256,0.27,1.25
32,0,6.6,0.0,0.13000000000000256,0.27,1.25
33,0,6.6,0.0,0.13000000000000256,0.27,1.25
34,0,6.6,0.0,0.14000000000000057,0.26,1.24
35,0,6.6,0.0,0.14000000000000057,0.26,1.24
36,0,6.6,0.0,0.14000000000000057,0.26,1.27
37,0,6.6,0.0,0.14999999999999858,0.26,1.28
38,0,6.6,0.0,0.14999999999999858,0.26,1.28
39,0,6.6,0.0,0.14000000000000057,0.28,1.26
40,0,6.6,0.0,0.14000000000000057,0.28,1.26
41,0,6.6,0.0,0.14999999999999858,0.28,1.23
42,0,6.6,0.0,0.14999999999999858,0.28,1.23
43,0,6.6,0.0,0.1600000000000037,0.28,1.24
44,0,6.6,0.0,0.1600000000000037,0.28,1.24
45,0,6.6,0.0,0.1700000000000017,0.28,1.25
46,0,6.6,0.0,0.1700000000000017,0.27,1.25
47,0,6.6,0.0,0.1700000000000017,0.27,1.25
48,0,6.6,0.0,0.17999999999999972,0.28,1.27
49,0,6.6,0.0,0.17999999999999972,0.28,1.27
50,0,6.6,0.0,0.18999999999999773,0.28,1.25
51,0,6.6,0.0,0.18999999999999773,0.28,1.25
52,0,6.6,0.0,0.17999999999999972,0.28,1.33
53,0,6.6,0.0,0.17999999999999972,0.28,1.33
54,0,6.6,0.0,0.21000000000000085,0.27,1.24
55,0,6.6,0.0,0.21000000000000085,0.27,1.24
56,0,6.6,0.0,0.21000000000000085,0.26,0.86
57,0,6.6,0.0,0.21000000000000085,0.26,0.86
58,0,6.6,0.0,0.21000000000000085,0.26,0.86
59,0,6.6,0.0,0.240000000000002,0.25,0.82
60,0,6.6,0.0,0.240000000000002,0.25,0.82
61,0,6.6,0.0,0.240000000000002,0.24,0.73
62,0,6.6,0.0,0.240000000000002,0.24,0.73
63,0,6.6,0.0,0.23000000000000398,0.27,0.62
64,0,6.6,0.0,0.23000000000000398,0.27,0.62
65,0,6.6,0.0,0.23000000000000398,0.28,0.65
66,0,6.6,0.0,0.23000000000000398,0.28,0.65
67,0,6.6,0.0,0.21999999999999886,0.27,0.68
68,0,6.6,0.0,0.21999999999999886,0.28,0.66
69,0,6.6,0.0,0.21999999999999886,0.28,0.66
70,0,6.6,0.0,0.240000000000002,0.27,0.77
71,0,6.6,0.0,0.240000000000002,0.27,0.77
72,0,6.6,0.0,0.240000000000002,0.26,0.61
73,0,6.6,0.0,0.240000000000002,0.26,0.61
74,0,6.6,0.0,0.240000000000002,0.25,0.62
75,0,6.6,0.0,0.240000000000002,0.25,0.62
76,0,6.6,0.0,0.25,0.28,0.65
77,0,6.6,0.0,0.25,0.28,0.65
78,0,6.6,0.0,0.259999999999998,0.27,0.63
79,0,6.6,0.0,0.259999999999998,0.26,0.62
80,0,6.6,0.0,0.259999999999998,0.26,0.62
81,0,6.6,0.0,0.259999999999998,0.26,0.67
82,0,6.6,0.0,0.259999999999998,0.26,0.67
83,0,6.6,0.0,0.28000000000000114,0.24,0.47
84,0,6.6,0.0,0.28000000000000114,0.24,0.47
85,0,6.6,0.0,0.28000000000000114,0.24,0.47
86,0,6.6,0.0,0.28000000000000114,0.24,0.47
87,0,6.6,0.0,0.28000000000000114,0.24,0.47
88,0,6.6,0.0,0.28000000000000114,0.24,0.47
89,0,6.6,0.0,0.28000000000000114,0.24,0.47
90,0,6.6,0.0,0.259999999999998,0.25,0.37
91,0,6.6,0.0,0.259999999999998,0.25,0.37
92,0,6.6,0.0,0.28999999999999915,0.24,0.53
93,0,6.6,0.0,0.28999999999999915,0.24,0.53
94,0,6.6,0.0,0.2700000000000031,0.24,0.61
95,0,6.6,0.0,0.2700000000000031,0.24,0.61
96,0,6.6,0.0,0.28000000000000114,0.25,0.55
97,0,6.6,0.0,0.28000000000000114,0.25,0.55
98,0,6.6,0.0,0.28999999999999915,0.26,0.59
99,0,6.6,0.0,0.28999999999999915,0.26,0.59
100,0,6.6,0.0,0.28999999999999915,0.26,0.59
101,0,6.6,0.0,0.28000000000000114,0.27,0.69
102,0,6.6,0.0,0.28000000000000114,0.27,0.69
