time*0.5 [s],altitude [cm],rotation [rpm],airspeed [m/s],yaw [deg],pitch [deg],roll [deg]
1,0,6.6,0.0,-5.04,0.01,0.28
2,0,6.6,0.0,-5.06,0.02,0.18
3,0,6.6,0.0,-5.06,0.02,0.18
4,0,6.6,0.0,-5.08,0.01,0.21
5,0,6.6,0.0,-5.08,0.01,0.21
6,0,6.6,0.0,-5.11,0.02,0.16
7,0,6.6,0.0,-5.11,0.02,0.16
8,0,6.6,0.0,-5.12,0.0,0.16
9,0,6.6,0.0,-5.12,0.0,0.04
10,0,6.6,0.0,-5.12,0.0,0.04
11,0,6.6,0.0,-5.14,0.02,0.27
12,0,6.6,0.0,-5.17,0.02,0.17
13,0,6.6,0.0,-5.12,0.0,0.3
14,0,6.6,0.0,-5.12,0.0,0.3
15,0,6.6,0.0,-5.12,0.03,0.56
16,0,6.6,0.0,-5.12,0.03,0.56
17,0,6.6,0.0,-5.11,0.03,0.52
18,0,6.6,0.0,-5.11,0.03,0.52
19,0,6.6,0.0,-5.2,0.02,0.47
20,0,6.6,0.0,-5.19,0.03,0.49
21,0,6.6,0.0,-5.19,0.03,0.49
22,0,6.6,0.0,-5.17,0.01,0.48
23,0,6.6,0.0,-5.17,0.01,0.48
24,0,6.6,0.0,-5.22,0.05,0.62
25,0,6.6,0.0,-5.22,0.05,0.62
26,0,6.6,2.624,-5.15,0.01,-0.11
27,0,6.6,2.624,-5.15,0.01,-0.11
28,0,6.6,2.624,-5.22,0.0,-0.19
29,0,6.6,2.624,-5.22,0.0,-0.19
30,0,6.6,2.624,-5.22,0.0,-0.19
31,0,6.6,2.624,-5.2,-0.04,-0.22
32,0,6.6,2.624,-5.2,-0.04,-0.22
33,0,6.6,2.624,-5.23,-0.05,-0.17
34,0,6.6,2.53,-5.23,-0.05,-0.17
35,0,6.6,2.53,-5.22,-0.05,-0.03
36,0,6.6,2.53,-5.22,-0.05,-0.03
37,0,6.6,2.53,-5.27,-0.06,-0.18
38,0,6.6,2.53,-5.27,-0.06,-0.18
39,0,6.6,2.53,-5.28,-0.07,-0.15
40,0,6.6,2.53,-5.28,-0.07,-0.15
41,0,6.6,2.53,-5.28,-0.07,-0.15
42,0,6.6,2.53,-5.26,-0.05,0.03
43,0,6.6,2.53,-5.26,-0.05,0.03
44,0,6.6,2.53,-5.25,-0.06,0.19
45,0,6.6,0.0,-5.25,-0.06,0.19
46,0,6.6,0.0,-5.23,-0.07,0.05
47,0,6.6,0.0,-5.23,-0.07,0.05
48,0,6.6,0.0,-5.23,-0.07,0.39
49,0,6.6,0.0,-5.23,-0.07,0.39
50,0,6.6,0.0,-5.24,-0.06,0.13
51,0,6.6,0.0,-5.24,-0.06,0.06
52,0,6.6,0.0,-5.24,-0.06,0.06
53,0,6.6,0.0,-5.22,-0.06,0.11
54,0,6.6,0.0,-5.22,-0.06,0.11
55,0,6.6,0.0,-5.21,-0.06,0.0
56,0,6.6,0.0,-5.21,-0.06,0.0
57,0,6.6,0.0,-5.23,-0.05,0.4
58,0,6.6,0.0,-5.23,-0.05,0.4
59,0,6.6,0.0,-5.24,-0.06,0.32
60,0,6.6,0.0,-5.24,-0.06,0.32
61,0,6.6,0.0,-5.25,-0.07,0.36
62,0,6.6,0.0,-5.25,-0.07,0.45
63,0,6.6,2.737,-5.25,-0.07,0.45
64,0,6.6,2.072,-5.25,-0.07,0.45
65,0,6.6,2.072,-5.25,-0.07,0.45
66,0,6.6,2.072,-5.27,-0.06,0.47
67,0,6.6,2.072,-5.27,-0.06,0.47
68,0,6.6,2.072,-5.28,-0.07,0.6
69,0,6.6,1.549,-5.28,-0.07,0.6
70,0,6.6,2.0,-5.31,-0.05,0.54
