time*0.5 [s],altitude [cm],rotation [rpm],airspeed [m/s],pitch [deg],roll [deg]
1,0,0.0,0.0,0.10000000000000009,1.4000000000000057
2,0,0.4,1.753,-0.10000000000000009,1.5999999999999943
3,0,0.4,1.753,-0.20000000000000018,1.5
4,0,1.5,3.076,-0.10000000000000009,1.1999999999999886
5,0,1.1999999999999886,3.076,-0.10000000000000009,1.0999999999999943
6,0,1.0999999999999943,2.5468,-0.08000000000000007,1.2599999999999967
7,0,0.4,2.1962,-0.040000000000000036,1.1199999999999988
8,0,0.4,1.8456,0.020000000000000018,1.080000000000001
9,0,1.080000000000001,1.2304,0.05999999999999961,1.0600000000000023
10,0,1.0600000000000023,0.6152,0.08000000000000007,1.0400000000000036
11,0,0.4,0.0,0.06000000000000005,1.080000000000001
12,0,0.4,0.0,0.05999999999999961,1.139999999999998
13,0,1.139999999999998,0.0,0.05999999999999961,1.0799999999999956
14,0,1.0799999999999956,0.0,0.0,1.0599999999999965
15,0,1.0599999999999965,0.0,-0.06000000000000005,1.0599999999999965
16,0,0.4,0.0,-0.040000000000000036,0.919999999999999
17,0,0.4,0.0,-0.07999999999999963,0.7400000000000038
18,0,0.7400000000000038,0.0,-0.13999999999999968,0.5600000000000023
19,0,0.5600000000000023,0.0,-0.21999999999999975,0.3400000000000034
20,0,0.2,0.0,-0.54,-0.03999999999999737
21,0,0.2,0.0,-1.0200000000000002,-0.3199999999999985
22,0,107.5,0.0,-1.6,-0.46000000000000263
23,0,107.5,0.0,-2.36,-0.6199999999999992
24,0,107.5,0.0,-2.94,-0.7199999999999989
25,0,106.4,1.4738,-3.2,-0.559999999999997
26,0,106.4,1.8417999999999999,-3.52,-0.39999999999999414
27,0,138.0,2.0119999999999996,-3.52,-0.2999999999999945
28,0,138.6,2.0143999999999997,-3.3,-0.2799999999999958
29,0,137.7,2.0202,-3.2,-0.41999999999999904
30,0,135.9,0.6516,-3.08,-0.5600000000000023
31,0,147.8,0.3022,-2.98,-0.7200000000000042
32,0,150.6,0.1332,-3.16,-0.9800000000000013
33,0,151.5,0.2112,-3.22,-1.020000000000005
34,0,151.8,0.20780000000000004,-3.52,-0.580000000000001
35,0,150.9,0.1278,-4.359999999999999,0.08000000000000096
36,0,155.0,0.1266,-5.26,1.2960000000000016
37,0,160.7,0.4104,-6.26,2.7951999999999995
38,0,159.1,0.4224,-7.9,3.555200000000002
39,0,160.4,0.42119999999999996,-9.440000000000001,4.035200000000003
40,0,159.2,0.5810000000000001,-10.52,5.342240000000004
41,0,157.8,0.5676,-11.56,5.786240000000006
42,0,161.3,0.3482,-13.0,5.9070400000000065
43,0,163.8,0.2572,-14.24,6.887040000000008
44,0,162.5,0.33940000000000003,-15.42,8.267040000000003
45,0,162.5,0.7817999999999999,-16.68,8.7
46,0,157.4,0.8994,-18.04,9.459999999999997
47,0,154.3,1.0337999999999998,-18.9,9.879999999999995
48,0,156.6,1.2458,-18.82,11.275999999999993
49,0,161.8,1.179,-18.9,10.675999999999993
50,0,155.8,0.603,-19.740000000000002,10.275999999999993
51,0,152.6,0.49440000000000006,-20.7,10.135999999999996
52,0,144.5,0.40280000000000005,-21.259999999999998,10.375999999999994
53,0,142.1,0.20940000000000003,-22.28,10.039999999999992
