time*0.5 [s],altitude [cm],rotation [rpm],airspeed [m/s],pitch [deg],roll [deg]
1,0,0.0,0.0,0.20000000000000018,0.09999999999999432
2,0,0.09999999999999432,0.0,0.20000000000000018,0.09999999999999432
3,0,0.09999999999999432,0.0,0.20000000000000018,0.09999999999999432
4,0,0.09999999999999432,0.0,0.10000000000000009,0.19999999999998863
5,0,0.6,0.0,0.10000000000000009,0.19999999999998863
6,0,0.6,0.0,0.16000000000000014,0.17999999999999527
7,0,0.17999999999999527,0.0,0.14000000000000012,0.23999999999999755
8,0,0.23999999999999755,0.0,0.13999999999999968,0.3199999999999985
9,0,0.3199999999999985,0.0,0.1200000000000001,0.3600000000000021
10,0,0.3600000000000021,0.0,0.10000000000000009,0.4000000000000057
11,0,0.6,0.0,0.06000000000000005,0.44000000000000306
12,0,0.6,0.0,0.040000000000000036,0.4800000000000013
13,0,0.6,0.0,0.0,0.5199999999999987
14,0,0.5199999999999987,0.0,0.040000000000000036,0.5399999999999974
15,0,0.5399999999999974,0.0,0.10000000000000009,0.49999999999999467
16,0,0.49999999999999467,0.0,0.13999999999999968,0.4599999999999964
17,0,0.4599999999999964,0.0,0.17999999999999972,0.41999999999999904
18,0,0.6,0.0,0.19999999999999973,0.3600000000000021
19,0,0.6,0.0,0.17999999999999972,0.3400000000000034
20,0,0.6,0.0,0.17999999999999972,0.3400000000000034
21,0,0.6,0.0,0.21999999999999975,0.3199999999999985
22,0,0.6,0.0,0.23999999999999977,0.2799999999999958
23,0,0.6,0.0,0.28000000000000025,0.23999999999999222
24,0,0.6,0.0,0.3200000000000003,0.23999999999999222
25,0,0.23999999999999222,0.0,0.2999999999999998,0.2799999999999958
26,0,0.2799999999999958,0.0,0.25999999999999934,0.2999999999999998
27,0,0.6,0.0,0.23999999999999977,0.3600000000000021
28,0,0.6,0.0,0.23999999999999977,0.4000000000000057
29,0,0.6,0.0,0.2200000000000002,0.380000000000007
30,0,0.6,0.0,0.19999999999999973,0.3600000000000083
31,0,0.6,0.0,0.17999999999999972,0.3600000000000083
32,0,0.6,0.0,0.1599999999999997,0.3600000000000083
33,0,0.6,0.0,0.10000000000000009,0.4000000000000057
34,0,0.6,0.0,0.06000000000000005,0.46000000000000263
35,0,0.6,0.0,0.05999999999999961,0.5
36,0,0.6,0.0,0.07999999999999963,0.5399999999999974
37,0,0.6,0.0,0.10000000000000009,0.5
38,0,0.5,0.0,0.18000000000000016,0.40000000000000036
