time*0.5 [s],altitude [cm],rot_old [rpm],airspeed [m/s],yaw [deg],pitch [deg],roll [deg],rot_twe [rpm],thrust_h,thrust_m,thrust_l,rudder,elevator,rudderFB,elevatorFB,rudderTrim,elevatortrim,battVoltage,battCurrent,nunchuckC,nunchuckZ
1,0,0.0,0.0,0.0,3.1,176.9,1.4,0,567,2056,90,90,180,180,90,90,786,15,0,0
2,0,0.0,0.0,0.0,3.0,176.9,1.4,0,567,2056,90,90,180,180,90,90,786,14,0,0
3,0,0.0,0.0,0.0,3.1,176.8,1.4,0,567,2056,90,90,180,180,90,90,788,14,0,0
4,0,0.0,0.0,0.0,3.3,176.9,1.4,0,567,2056,90,90,180,180,90,90,788,17,0,0
5,0,0.0,0.0,0.0,3.2,177.0,1.4,0,567,2056,90,90,180,180,90,90,786,14,0,0
6,0,0.0,0.0,0.0,3.3,177.0,1.4,0,567,2056,90,90,180,180,90,90,786,13,0,0
7,0,0.0,0.0,0.0,3.3,177.0,1.4,0,567,2056,90,90,180,180,90,90,786,15,0,0
8,0,0.0,0.0,0.0,3.3,177.0,1.8,0,567,3341,90,90,180,180,90,90,786,14,0,0
9,0,0.0,0.0,0.0,2.6,176.5,1.8,0,567,3341,90,90,180,180,90,90,786,10,0,0
10,0,0.0,0.0,0.0,2.6,176.8,1.8,0,567,3341,90,90,180,180,90,90,786,11,0,0
11,1072,0.0,0.0,0.0,3.2,176.8,1.8,0,567,3341,90,90,180,180,90,90,788,17,0,0
12,1072,0.0,0.0,0.0,3.3,176.9,0.5,0,0,0,90,90,180,180,90,90,788,12,0,0
13,1072,0.0,0.0,0.0,3.5,177.0,0.5,0,0,0,90,90,180,180,90,90,786,13,0,0
14,1072,0.0,0.0,0.0,3.5,177.1,1.9,0,567,3872,90,90,180,180,90,90,786,12,0,0
15,1072,0.0,0.0,0.0,3.5,177.3,1.9,0,567,3872,90,90,180,180,90,90,786,13,0,0
16,1072,0.0,0.0,0.0,3.6,177.0,1.9,0,567,3872,90,90,180,180,90,90,786,13,0,0
17,1072,0.0,0.0,0.0,3.4,177.1,2.6,0,0,0,90,90,180,180,90,90,786,7,0,0
18,1072,0.0,0.0,0.0,3.2,177.2,2.6,0,0,0,90,90,180,180,90,90,786,15,0,0
19,1072,0.0,0.0,0.0,3.2,177.2,3.4,0,567,2297,90,90,180,180,90,90,786,13,0,0
20,32,0.0,0.0,0.0,3.3,177.1,3.4,0,567,2297,90,90,180,180,90,90,786,13,0,0
21,32,0.0,0.0,0.0,3.3,177.0,3.4,0,567,2297,90,90,180,180,90,90,786,12,0,0
22,32,0.0,0.0,0.0,3.2,177.1,3.4,0,567,2297,90,90,180,180,90,90,786,15,0,0
23,32,0.0,0.0,0.0,3.1,177.1,5.5,0,0,0,90,90,180,180,90,90,785,20,0,0
24,32,0.0,0.0,0.0,3.3,176.8,5.5,0,0,0,90,90,180,180,90,90,786,14,0,0
25,32,0.0,0.0,0.0,3.5,176.9,5.5,0,0,0,90,90,180,180,90,90,788,14,0,0
26,32,0.0,0.0,0.0,3.4,177.1,5.9,0,567,4275,90,90,180,180,90,90,786,13,0,0
27,32,0.0,0.0,0.0,3.3,177.2,5.9,0,567,4275,90,90,180,180,90,90,786,13,0,0
28,32,0.0,0.0,0.0,3.3,177.0,4.6,0,0,0,90,90,180,180,90,90,786,15,0,0
29,32,0.0,0.0,0.0,3.3,177.0,4.6,0,0,0,90,90,180,180,90,90,786,16,0,0
30,32,0.0,0.0,0.0,3.4,177.0,4.6,0,567,3232,90,90,180,180,90,90,786,15,0,0
31,32,0.0,0.0,0.0,3.4,177.0,4.6,0,567,3232,90,90,180,180,90,90,786,16,0,0
32,32,0.0,0.0,0.0,3.4,177.1,4.6,0,567,3232,90,90,180,180,90,90,786,16,0,0
33,32,0.0,0.0,0.0,3.4,177.0,0.4,0,0,0,90,90,180,180,90,90,786,16,0,0
34,32,0.0,0.0,0.0,3.5,177.2,0.4,0,0,0,90,90,180,180,90,90,786,16,0,0
35,32,0.0,0.0,0.0,3.4,177.0,4.6,0,56,7367,90,90,180,180,90,90,785,22,0,0
36,32,0.0,0.0,0.0,3.0,176.9,4.6,0,56,7367,90,90,180,180,90,90,786,19,0,0
37,32,0.0,0.0,0.0,2.9,176.9,4.6,0,56,7367,90,90,180,180,90,90,786,13,0,0
38,32,0.0,0.0,0.0,3.0,176.3,4.6,0,56,7367,90,90,180,180,90,90,788,7,0,0
39,32,0.0,0.0,0.0,3.6,176.5,0.0,0,0,0,90,90,180,180,90,90,786,5,0,0
40,32,0.0,0.0,0.0,3.5,176.9,0.0,0,0,0,90,90,180,180,90,90,786,16,0,0
41,33,0.0,0.0,0.0,3.0,176.6,7.0,0,567,1226,90,90,180,180,90,90,784,40,0,0
42,33,0.0,0.0,0.0,1.9,176.4,7.0,0,567,1226,90,90,180,180,90,90,785,35,0,0
43,33,0.0,0.0,0.0,0.9,176.7,7.0,0,567,1226,90,90,180,180,90,90,785,23,0,0
44,32,0.0,0.0,0.0,0.0,176.5,0.0,0,0,187,90,90,180,180,90,90,785,31,0,0
45,32,0.0,0.0,0.0,-0.2,176.0,0.0,0,0,187,90,90,180,180,90,90,786,17,0,0
46,32,0.0,0.792,0.0,-0.3,175.9,134.1,0,5,6690,90,90,180,180,90,90,788,7,0,0
47,32,0.0,0.004,0.0,0.0,176.4,140.9,0,5,6559,90,90,180,180,90,90,786,5,0,0
48,32,0.0,0.005,0.0,-0.1,177.2,137.9,0,0,0,90,90,180,180,90,90,784,37,0,0
49,33,0.0,0.005,0.0,-0.5,177.0,137.9,0,0,0,90,90,180,180,90,90,786,8,0,0
50,33,0.0,0.06,0.0,-0.8,175.6,140.6,0,5,6631,90,90,180,180,90,90,785,29,0,0
51,33,0.0,0.025,0.0,-1.8,174.4,146.0,0,0,0,90,90,180,180,90,90,788,5,0,0
52,32,0.0,0.293,0.0,-1.9,175.1,144.4,0,56,5932,90,90,180,180,90,90,783,46,0,0
53,32,0.0,0.103,0.0,-3.2,177.3,150.7,0,56,5866,90,90,180,180,90,90,785,32,0,0
54,32,0.0,0.276,0.0,-4.1,107.5,150.7,0,0,56,90,90,180,180,90,90,788,5,0,0
55,32,0.0,0.437,0.0,-6.0,-107.6,155.7,0,5,6687,90,90,180,180,90,90,788,10,0,0
56,32,0.0,0.002,0.0,-9.5,-179.3,158.2,0,0,56,90,90,180,180,90,90,783,30,0,0
57,32,0.0,0.516,0.0,-11.2,-178.2,156.4,0,56,7092,90,4,180,180,90,90,784,47,0,0
58,32,0.0,2.839,0.0,-13.7,-176.0,153.1,0,565,6556,90,90,180,180,90,90,765,294,0,0
59,32,0.0,2.912,0.0,-15.6,-173.6,0.0,0,0,0,90,90,180,180,90,90,785,16,0,0
60,32,0.0,4.073,0.0,-17.8,-172.0,156.8,0,566,6750,90,90,180,180,90,90,785,40,0,0
