time*0.5 [s],altitude [cm],rot_old [rpm],airspeed [m/s],yaw [deg],pitch [deg],roll [deg],rot_twe [rpm],thrust_h,thrust_m,thrust_l,rudder,elevator,rudderFB,elevatorFB,rudderTrim,elevatortrim,battVoltage,battCurrent,nunchuckC,nunchuckZ
1,19,0.0,0.0,0.0,-2.1,84.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,19,0.0,0.0,0.0,-1.7,93.1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
3,19,0.0,0.0,0.0,-1.2,101.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
4,19,0.0,0.0,0.0,-1.2,108.4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
5,19,0.0,0.0,0.0,-1.7,117.4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
6,19,0.0,0.0,0.0,-2.8,126.1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
7,19,0.0,0.0,0.0,-3.9,131.7,0.8,0,567,9184,0,0,0,0,0,0,0,0,0,0
8,19,0.0,0.0,0.0,-5.3,137.8,0.8,0,567,9184,0,0,0,0,0,0,0,0,0,0
9,19,0.0,0.0,0.0,-6.4,142.5,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
10,19,0.0,0.0,0.0,-7.0,145.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
11,19,0.0,0.0,0.0,-7.5,149.5,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
12,19,0.0,0.0,0.0,-7.8,153.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
13,19,0.0,0.0,0.0,-7.7,155.7,0.6,0,567,8849,0,0,0,0,0,0,0,0,0,0
14,19,0.0,0.0,0.0,-7.3,158.7,0.6,0,567,8849,0,0,0,0,0,0,0,0,0,0
15,19,0.0,0.0,0.0,-6.6,161.2,0.6,0,567,8849,0,0,0,0,0,0,0,0,0,0
16,19,0.0,0.0,0.0,-5.9,163.1,0.6,0,0,56,0,0,0,0,0,0,0,0,0,0
17,19,0.0,0.0,0.0,-5.0,165.5,0.6,0,0,56,0,0,0,0,0,0,0,0,0,0
18,19,0.0,0.0,0.0,-4.2,167.8,0.6,0,0,56,0,0,0,0,0,0,0,0,0,0
19,19,0.0,0.0,0.0,-3.4,168.9,0.6,0,0,56,0,0,0,0,0,0,0,0,0,0
20,19,0.0,0.0,0.0,-2.4,170.5,0.6,0,567,8408,0,0,0,0,0,0,0,0,0,0
21,19,0.0,0.0,0.0,-1.3,171.8,0.6,0,567,8408,0,0,0,0,0,0,0,0,0,0
22,19,0.0,0.0,0.0,-0.6,172.6,0.6,0,567,8408,0,0,0,0,0,0,0,0,0,0
23,19,0.0,0.0,0.0,0.2,173.3,0.6,0,567,8408,0,0,0,0,0,0,0,0,0,0
24,19,0.0,0.0,0.0,0.8,173.8,0.6,0,567,8408,0,0,0,0,0,0,0,0,0,0
25,19,0.0,0.0,0.0,1.4,174.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
26,19,0.0,0.0,0.0,1.9,174.5,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
27,19,0.0,0.0,0.0,2.1,174.9,0.6,0,567,8484,0,0,0,0,0,0,0,0,0,0
28,19,0.0,0.0,0.0,2.3,175.1,0.6,0,567,8484,0,0,0,0,0,0,0,0,0,0
29,19,0.0,0.0,0.0,2.6,175.1,0.6,0,567,8484,0,0,0,0,0,0,0,0,0,0
30,19,0.0,0.0,0.0,2.7,175.2,0.6,0,567,8484,0,0,0,0,0,0,0,0,0,0
31,19,0.0,0.0,0.0,2.9,175.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
32,19,0.0,0.0,0.0,2.8,175.5,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
33,19,0.0,0.0,0.0,2.8,175.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
34,19,0.0,0.0,0.0,3.0,175.0,0.6,0,567,8706,0,0,0,0,0,0,0,0,0,0
35,19,0.0,0.0,0.0,3.1,175.0,0.6,0,567,8706,0,0,0,0,0,0,0,0,0,0
36,19,0.0,0.0,0.0,3.2,175.3,0.6,0,567,8706,0,0,0,0,0,0,0,0,0,0
37,19,0.0,0.0,0.0,3.2,175.1,0.6,0,567,8706,0,0,0,0,0,0,0,0,0,0
38,19,0.0,0.0,0.0,3.2,174.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,19,0.0,0.0,0.0,3.2,175.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,19,0.0,0.0,0.0,3.2,175.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,19,0.0,0.0,0.0,3.2,175.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,19,0.0,0.0,0.0,3.1,175.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,19,0.0,0.0,0.0,3.1,175.2,0.6,0,567,7910,0,0,0,0,0,0,0,0,0,0
44,19,0.0,0.0,0.0,3.2,175.3,0.6,0,567,7910,0,0,0,0,0,0,0,0,0,0
45,19,0.0,0.0,0.0,3.1,175.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,19,0.0,0.0,0.0,3.2,175.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,19,0.0,0.0,0.0,3.0,175.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,19,0.0,0.0,0.0,3.0,175.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,19,0.0,0.0,0.0,3.0,175.5,0.6,0,567,7868,0,0,0,0,0,0,0,0,0,0
50,19,0.0,0.0,0.0,3.0,175.6,0.6,0,567,7868,0,0,0,0,0,0,0,0,0,0
51,19,0.0,0.0,0.0,3.0,175.7,0.6,0,567,7868,0,0,0,0,0,0,0,0,0,0
52,19,0.0,0.0,0.0,3.2,175.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,19,0.0,0.0,0.0,3.3,175.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,19,0.0,0.0,0.0,3.2,175.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,19,0.0,0.0,0.0,3.2,175.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,19,0.0,0.0,0.0,3.1,175.4,0.6,0,567,8226,0,0,0,0,0,0,0,0,0,0
57,19,0.0,0.0,0.0,3.1,175.4,0.6,0,567,8226,0,0,0,0,0,0,0,0,0,0
58,19,0.0,0.0,0.0,3.3,175.2,0.6,0,567,8226,0,0,0,0,0,0,0,0,0,0
59,19,0.0,0.0,0.0,3.4,175.2,0.6,0,567,8226,0,0,0,0,0,0,0,0,0,0
60,19,0.0,0.0,0.0,3.3,175.2,0.6,0,567,8226,0,0,0,0,0,0,0,0,0,0
61,19,0.0,0.0,0.0,3.3,175.2,0.6,0,567,8226,0,0,0,0,0,0,0,0,0,0
62,19,0.0,0.0,0.0,3.3,175.4,0.6,0,567,8226,90,90,180,180,90,90,792,14,0,0
63,19,0.0,0.0,0.0,3.2,175.4,0.0,0,0,0,90,90,180,180,90,90,792,13,0,0
64,19,0.0,0.0,0.0,3.2,175.3,0.0,0,0,0,90,90,180,180,90,90,792,15,0,0
65,19,0.0,0.0,0.0,3.2,175.5,0.6,0,567,7861,90,90,180,180,90,90,792,15,0,0
66,19,0.0,0.0,0.0,3.3,175.4,0.6,0,567,7861,90,90,180,180,90,90,791,14,0,0
67,19,0.0,0.0,0.0,3.2,175.3,0.6,0,567,7861,18,90,180,180,90,90,780,151,0,0
68,19,0.0,0.0,0.0,3.1,175.3,0.6,0,567,7861,4,90,180,180,90,90,792,5,0,0
69,19,0.0,0.0,0.0,3.1,175.3,0.6,0,567,7861,90,90,180,180,90,90,792,9,0,0
70,19,0.0,0.0,0.0,3.1,175.5,0.6,0,0,0,90,90,180,180,90,90,791,25,0,0
71,19,0.0,0.0,0.0,3.0,175.6,0.6,0,0,0,177,90,180,180,90,90,791,16,0,0
72,19,0.0,0.0,0.0,3.0,175.6,0.6,0,0,0,129,90,180,180,90,90,792,7,0,0
73,19,0.0,0.0,0.0,3.1,175.5,0.6,0,0,0,90,138,180,180,90,90,780,144,0,0
74,19,0.0,0.0,0.0,3.2,175.5,0.6,0,0,0,96,176,180,180,90,90,792,15,0,0
75,19,0.0,0.0,0.0,3.2,175.3,0.6,0,0,0,90,90,180,180,90,90,785,87,0,0
76,19,0.0,0.0,0.0,3.4,175.1,0.0,0,0,0,86,9,180,180,90,90,791,17,0,0
77,19,0.0,0.0,0.0,3.4,175.1,0.0,0,0,0,90,90,180,180,90,90,767,479,0,0
78,19,0.0,0.0,0.0,3.3,175.2,0.0,0,0,0,90,90,180,180,90,90,792,10,0,0
79,19,0.0,0.0,0.0,3.2,175.2,0.6,0,0,0,90,90,180,180,90,90,792,12,0,0
80,19,0.0,0.0,0.0,3.3,174.9,0.6,0,0,0,90,90,180,180,90,90,791,23,0,0
81,19,0.0,0.0,0.0,3.3,174.8,0.6,0,0,0,90,90,180,180,90,90,792,15,0,0
82,19,0.0,0.0,0.0,3.3,174.8,0.6,0,0,0,90,90,180,180,90,90,791,15,0,0
83,19,0.0,0.0,0.0,3.3,174.8,0.0,0,0,0,90,90,180,180,90,90,792,17,0,0
84,19,0.0,0.0,0.0,3.4,174.8,0.0,0,0,0,90,90,180,180,90,90,792,8,0,0
85,19,0.0,0.0,0.0,3.2,175.2,0.0,0,0,0,90,90,180,180,90,90,791,15,0,0
86,19,0.0,0.0,0.0,3.1,175.2,0.0,0,0,0,90,90,180,180,90,90,792,15,0,0
87,19,0.0,0.0,0.0,3.1,175.2,0.0,0,0,0,90,90,180,180,90,90,791,17,0,0
88,19,0.0,0.0,0.0,3.2,175.4,0.0,0,0,0,90,90,180,180,90,90,792,8,0,0
89,19,0.0,0.0,0.0,3.1,175.2,0.0,0,0,0,90,90,180,180,90,90,792,15,0,0
90,19,0.0,0.0,0.0,3.1,175.0,60.0,0,0,0,90,90,180,180,90,90,792,15,0,0
91,19,0.0,0.0,0.0,3.1,175.1,60.0,0,0,0,90,90,180,180,90,90,792,16,0,0
92,19,0.0,0.0,0.0,3.2,174.9,60.0,0,0,0,90,90,180,180,90,90,792,16,0,0
93,19,0.0,0.0,0.0,3.3,174.7,60.0,0,0,0,90,90,180,180,90,90,792,15,0,0
94,19,0.0,0.0,0.0,3.3,174.6,60.0,0,0,0,90,90,180,180,90,90,792,15,0,0
95,19,0.0,0.0,0.0,3.2,174.6,60.0,0,0,0,90,90,180,180,90,90,791,15,0,0
96,19,0.0,0.0,0.0,3.3,175.1,0.5,0,0,0,90,90,180,180,90,90,792,21,0,0
97,19,0.0,0.0,0.0,3.2,175.3,0.5,0,0,0,90,90,180,180,90,90,792,15,0,0
98,19,0.0,0.0,0.0,3.3,175.3,0.5,0,0,0,90,90,180,180,90,90,792,15,0,0
99,19,0.0,0.0,0.0,3.4,175.1,0.5,0,0,0,90,90,180,180,90,90,792,15,0,0
100,19,0.0,0.0,0.0,3.4,175.1,0.5,0,0,0,90,90,180,180,90,90,792,15,0,0
101,19,0.0,0.0,0.0,3.3,175.2,0.5,0,0,0,90,90,180,180,90,90,792,16,0,0
102,19,0.0,0.0,0.0,3.4,175.0,0.5,0,0,0,90,90,180,180,90,90,792,9,0,0
103,19,0.0,0.0,0.0,3.4,174.9,0.5,0,0,0,90,78,180,180,90,90,792,16,0,0
104,19,0.0,0.0,0.0,3.2,175.0,0.5,0,0,0,94,75,180,180,90,90,792,9,0,0
105,19,0.0,0.0,0.0,3.2,174.9,0.5,0,0,0,95,74,180,180,90,90,792,9,0,0
106,19,0.0,0.0,0.0,3.1,175.0,0.0,0,0,0,96,73,180,180,90,90,792,7,0,0
107,19,0.0,0.0,0.0,3.1,175.1,0.0,0,0,0,94,81,180,180,90,90,789,54,0,0
108,19,0.0,0.0,0.0,3.1,174.9,0.0,0,0,0,90,90,180,180,90,90,792,11,0,0
109,19,0.0,0.0,0.0,3.3,174.6,0.0,0,0,0,90,90,180,180,90,90,791,13,0,0
110,19,0.0,0.0,0.0,3.3,174.5,0.0,0,0,0,90,90,180,180,90,90,792,16,0,0
111,19,0.0,0.0,0.0,3.2,174.5,0.0,0,0,0,90,90,180,180,90,90,792,17,0,0
112,19,0.0,0.0,0.0,3.1,174.8,0.0,0,0,0,90,90,180,180,90,90,791,15,0,0
113,19,0.0,0.0,0.0,3.1,175.0,0.0,0,0,0,90,90,180,180,90,90,792,16,0,0
114,19,0.0,0.0,0.0,3.1,174.9,0.0,0,0,0,90,90,180,180,90,90,792,16,0,0
115,19,0.0,0.0,0.0,3.2,174.9,0.0,0,0,0,90,90,180,180,90,90,791,14,0,0
116,19,0.0,0.0,0.0,3.3,174.9,0.0,0,0,0,90,90,180,180,90,90,792,14,0,0
117,19,0.0,0.0,0.0,3.2,174.9,0.0,0,0,0,90,90,180,180,90,90,792,14,0,0
118,19,0.0,0.0,0.0,3.2,174.9,0.0,0,0,0,90,90,180,180,90,90,792,15,0,0
119,19,0.0,0.0,0.0,3.2,174.9,0.0,0,0,0,90,90,180,180,90,90,792,15,0,0
120,19,0.0,0.0,0.0,3.3,174.8,0.0,0,0,0,90,90,180,180,90,90,792,13,0,0
121,19,0.0,0.0,0.0,3.5,174.4,0.0,0,0,0,90,90,180,180,90,90,792,14,0,0
122,19,0.0,0.0,0.0,3.3,174.5,0.0,0,0,0,90,90,180,180,90,90,792,14,0,0
123,19,0.0,0.0,0.0,3.3,174.5,0.0,0,0,0,90,90,180,180,90,90,792,13,0,0
124,19,0.0,0.0,0.0,3.2,174.2,0.0,0,0,0,90,90,180,180,90,90,792,15,0,0
125,19,0.0,0.0,0.0,3.2,174.4,0.0,0,0,0,90,90,180,180,90,90,792,14,0,0
126,19,0.0,0.0,0.0,3.2,174.5,0.0,0,0,0,16,90,180,180,90,90,792,5,0,0
127,19,0.0,0.0,0.0,3.2,174.4,0.0,0,0,0,178,90,180,180,90,90,791,17,0,0
128,19,0.0,0.0,0.0,3.2,174.4,0.0,0,0,0,178,90,180,180,90,90,792,10,0,0
129,19,0.0,0.0,0.0,3.2,174.7,0.0,0,0,0,156,90,180,180,90,90,792,5,0,0
130,19,0.0,0.0,0.0,3.2,174.7,0.0,0,0,0,90,90,180,180,90,90,792,13,0,0
131,19,0.0,0.0,0.0,3.2,174.5,0.0,0,0,0,178,90,180,180,90,90,792,5,0,0
132,19,0.0,0.0,0.0,3.1,174.6,0.0,0,0,0,90,90,180,180,90,90,790,45,0,0
133,19,0.0,0.0,0.0,3.0,174.7,0.0,0,0,0,90,40,180,180,90,90,784,140,0,0
134,19,0.0,0.0,0.0,3.0,174.8,0.0,0,0,0,90,90,180,180,90,90,791,12,0,0
135,19,0.0,0.0,0.0,3.1,174.8,0.0,0,0,0,90,110,180,180,90,90,792,11,0,0
136,19,0.0,0.0,0.0,3.1,174.9,0.0,0,0,0,90,178,180,180,90,90,791,23,0,0
137,19,0.0,0.0,0.0,3.1,174.9,0.0,0,0,0,90,90,180,180,90,90,790,37,0,0
138,19,0.0,0.0,0.0,2.9,175.2,0.0,0,0,0,90,72,180,180,90,90,790,32,0,0
139,19,0.0,0.0,0.0,2.9,175.1,0.0,0,0,0,90,90,180,180,90,90,780,144,0,0
140,19,0.0,0.0,0.0,3.1,175.1,0.0,0,0,0,90,156,180,180,90,90,785,111,0,0
141,19,0.0,0.0,0.0,3.1,175.0,0.0,0,0,0,90,179,180,180,90,90,792,15,0,0
142,19,0.0,0.0,0.0,3.1,175.1,0.0,0,0,0,90,90,180,180,90,90,791,18,0,0
143,19,0.0,0.0,0.0,3.1,175.1,0.0,0,0,0,90,104,180,180,90,90,791,24,0,0
144,19,0.0,0.0,0.0,3.1,175.4,0.0,0,0,0,90,179,180,180,90,90,790,28,0,0
145,19,0.0,0.0,0.0,3.2,175.4,0.0,0,0,0,90,90,180,180,90,90,785,70,0,0
146,19,0.0,0.0,0.0,3.2,174.9,0.0,0,0,0,90,92,180,180,90,90,791,14,0,0
147,19,0.0,0.0,0.0,3.3,174.9,0.0,0,0,0,90,178,180,180,90,90,791,27,0,0
148,19,0.0,0.0,0.0,3.2,175.1,0.0,0,0,0,90,90,180,180,90,90,779,158,0,0
149,19,0.0,0.0,0.0,3.2,175.1,0.0,0,0,0,90,90,180,180,90,90,791,26,0,0
150,19,0.0,0.0,0.0,3.2,175.2,0.0,0,0,0,90,66,180,180,90,90,783,124,0,0
151,19,0.0,0.0,0.0,3.1,175.2,0.0,0,0,0,90,72,180,180,90,90,788,81,0,0
152,19,0.0,0.0,0.0,3.1,175.1,0.0,0,0,0,90,90,180,180,90,90,791,17,0,0
153,19,0.0,0.0,0.0,3.2,175.2,0.0,0,0,0,90,90,180,180,90,90,792,15,0,0
154,19,0.0,0.0,0.0,3.2,175.3,0.0,0,0,0,90,128,180,180,90,90,791,15,0,0
155,19,0.0,0.0,0.0,3.2,175.2,0.0,0,0,0,90,93,180,180,90,90,785,86,0,0
156,19,0.0,0.0,0.0,3.2,174.9,0.0,0,0,0,90,90,180,180,90,90,791,14,0,0
157,19,0.0,0.0,0.0,3.3,175.0,0.0,0,0,0,90,90,180,180,90,90,791,16,0,0
158,19,0.0,0.0,0.0,3.2,175.2,0.0,0,0,0,90,74,180,180,90,90,791,17,0,0
159,19,0.0,0.0,0.0,3.2,175.2,0.0,0,0,0,90,90,180,180,90,90,788,65,0,0
160,19,0.0,0.0,0.0,3.1,175.2,0.0,0,0,0,90,116,180,180,90,90,791,15,0,0
161,19,0.0,0.0,0.0,3.1,174.9,0.0,0,0,0,90,128,180,180,90,90,790,26,0,0
