time*0.3[s],altitude[cm],rot_old,air_sp[mm/s],yaw_old,pitch_old,roll_old,rotation*10[rpm],thrust_H,thrust_M,thrust_L,rudder,elevator,rudde_trim,elev_trim,servo_voltage,servo_current,elev_trim(nunchuck),screen_toggle
015834,000525,008888,000000,00000,00000,00000,000007,0000,0507,6973,091,090,090,090,0820,0012,+01,0
015835,000525,008888,000000,00000,00000,00000,000007,0000,0507,6952,091,090,090,090,0817,0020,+01,0
015836,000525,008888,000000,00000,00000,00000,000007,0000,0507,6989,091,090,090,090,0818,0034,+01,0
015837,000525,008888,000000,00000,00000,00000,000007,0000,0507,6945,091,090,090,090,0818,0016,+01,0
015838,000525,008888,000000,00000,00000,00000,000007,0000,0507,6865,091,090,090,090,0820,0010,+01,0
015839,000525,008888,000000,00000,00000,00000,000007,0000,0507,6631,091,090,090,090,0820,0010,+01,0
015840,000525,008888,000000,00000,00000,00000,000007,0000,0507,6631,091,090,090,090,0818,0011,+01,0
015841,000525,008888,000000,00000,00000,00000,000007,0000,0507,6563,091,090,090,090,0817,0025,+01,0
015842,001070,008888,000000,00000,00000,00000,000007,0000,0507,6614,091,090,090,090,0818,0015,+01,0
015843,001070,008888,000000,00000,00000,00000,000007,0000,0507,6387,091,090,090,090,0821,0009,+01,0
015844,001070,008888,000000,00000,00000,00000,000007,0000,0507,6508,091,090,090,090,0821,0009,+01,0
015845,001070,008888,000000,00000,00000,00000,000007,0000,0507,6384,091,090,090,090,0820,0007,+01,0
015846,001070,008888,000000,00000,00000,00000,000007,0000,0507,6331,091,090,090,090,0818,0023,+01,0
015847,001070,008888,000000,00000,00000,00000,000007,0000,0507,6245,091,090,090,090,0820,0010,+01,0
015848,001070,008888,000000,00000,00000,00000,000007,0000,0507,6168,091,090,090,090,0820,0014,+01,0
015849,000284,008888,000000,00000,00000,00000,000007,0000,0507,6258,091,090,090,090,0818,0020,+01,0
015850,000284,008888,000000,00000,00000,00000,000007,0000,0507,6179,091,090,090,090,0820,0013,+01,0
015851,000284,008888,000000,00000,00000,00000,000007,0000,0507,6071,091,090,090,090,0818,0028,+01,0
015852,000284,008888,000000,00000,00000,00000,000007,0000,0507,6071,091,090,090,090,0818,0030,+01,0
015853,000284,008888,000000,00000,00000,00000,000007,0000,0507,6059,091,090,090,090,0820,0012,+01,0
015854,000284,008888,000000,00000,00000,00000,000007,0000,0507,5901,091,090,090,090,0817,0025,+01,0
015855,000284,008888,000000,00000,00000,00000,000007,0000,0507,5938,091,090,090,090,0820,0015,+01,0
015856,000284,008888,000000,00000,00000,00000,000007,0000,0507,5832,091,090,090,090,0820,0013,+01,0
